Molecule;Target;ATC;Action;pCHEMBL
hyperici herba;alpha1a-adrenoceptor;N06AX25;NA;5.000000
ibuprofen;alpha1a-adrenoceptor;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
imipramine;alpha1a-adrenoceptor;N06AA02;antagonist;7.494850
ketamine;alpha1a-adrenoceptor;N01AX03;NA;5.000000
ketorolac;alpha1a-adrenoceptor;M01AB15. S01BC05;NA;5.000000
loxapine;alpha1a-adrenoceptor;N05AH01;NA;7.508638
meloxicam;alpha1a-adrenoceptor;M01AC06;NA;5.000000
memantine;alpha1a-adrenoceptor;N06DX01;NA;5.000000
methionine;alpha1a-adrenoceptor;V03AB26;NA;5.000000
methoxamine;alpha1a-adrenoceptor;C01CA10;agonist;5.099020
methylphenidate;alpha1a-adrenoceptor;N06BA04;NA;5.000000
methysergide;alpha1a-adrenoceptor;N02CA04;NA;5.000000
mianserin;alpha1a-adrenoceptor;N06AX03;antagonist;7.600000
mirtazapine;alpha1a-adrenoceptor;N06AX11;antagonist;5.741123
mitragynine;alpha1a-adrenoceptor;N02AX-a;NA;5.000000
molindone;alpha1a-adrenoceptor;N05AE02;NA;5.583027
naproxen;alpha1a-adrenoceptor;M01AE02. M02AA12. G02CC02;NA;5.000000
nefazodone;alpha1a-adrenoceptor;N06AX06;antagonist;7.318759
nimesulide;alpha1a-adrenoceptor;M01AX17. M02AA26;NA;5.000000
norepinephrine;alpha1a-adrenoceptor;C01CA03;agonist;5.552355
olanzapine;alpha1a-adrenoceptor;N05AH03;antagonist;6.950928
ondansetron;alpha1a-adrenoceptor;A04AA01;NA;5.000000
oxymetazoline;alpha1a-adrenoceptor;R01AA05. R01AB07. S01GA04;agonist;8.099383
parecoxib;alpha1a-adrenoceptor;M01AH04;NA;5.000000
paroxetine;alpha1a-adrenoceptor;N06AB05;NA;6.000000
pergolide;alpha1a-adrenoceptor;N04BC02;agonist;5.980000
perphenazine;alpha1a-adrenoceptor;N05AB03;NA;8.000000
phentolamine;alpha1a-adrenoceptor;C04AB01. V03AB36;antagonist;8.600000
phenylephrine;alpha1a-adrenoceptor;C01CA06. R01AA04. R01AB01. R01BA03. S01FB01. S01GA05;agonist;5.299057
pimozide;alpha1a-adrenoceptor;N05AG02;NA;6.703993
piribedil;alpha1a-adrenoceptor;N04BC08;antagonist;6.094998
piroxicam;alpha1a-adrenoceptor;M01AC01. M02AA07. S01BC06;NA;5.000000
pramipexole;alpha1a-adrenoceptor;N04BC05;NA;5.000000
prazosin;alpha1a-adrenoceptor;C02CA01;antagonist;9.557090
pseudoephedrine;alpha1a-adrenoceptor;R01BA02;agonist;5.000000
psylocibine;alpha1a-adrenoceptor;N06BA-d;NA;5.000000
quetiapine;alpha1a-adrenoceptor;N05AH04;antagonist;7.657577
reboxetine;alpha1a-adrenoceptor;N06AX18;NA;5.000000
risperidone;alpha1a-adrenoceptor;N05AX08;antagonist;8.425065
rofecoxib;alpha1a-adrenoceptor;M01AH02;NA;5.000000
ropinirole;alpha1a-adrenoceptor;N04BC04;antagonist;5.000000
sertindole;alpha1a-adrenoceptor;N05AE03;NA;8.744727
sertraline;alpha1a-adrenoceptor;N06AB06;NA;6.546682
silodosin;alpha1a-adrenoceptor;G04CA04;antagonist;9.704184
talipexole;alpha1a-adrenoceptor;N04BX-a;NA;5.000000
tamsulosin;alpha1a-adrenoceptor;G04CA02;antagonist;10.232613
terazosin;alpha1a-adrenoceptor;G04CA03;antagonist;8.719977
thioridazine;alpha1a-adrenoceptor;N05AC02;antagonist;8.588564
tianeptine;alpha1a-adrenoceptor;N06AX14;NA;5.000000
tiotixene;alpha1a-adrenoceptor;N05AF04;NA;7.939691
trazodone;alpha1a-adrenoceptor;N06AX05;antagonist;6.815309
trifluoperazine;alpha1a-adrenoceptor;N05AB06;antagonist;7.619789
valdecoxib;alpha1a-adrenoceptor;M01AH03;NA;5.000000
venlafaxine;alpha1a-adrenoceptor;N06AX16;NA;5.477226
yohimbine;alpha1a-adrenoceptor;G04BE04;NA;6.070426
ziprasidone;alpha1a-adrenoceptor;N05AE04;antagonist;7.744727
zotepine;alpha1a-adrenoceptor;N05AX11;NA;8.154902
acetylsalicylic acid;alpha1b-adrenoceptor;A01AD05. B01AC06. N02BA01;NA;5.000000
alfuzosin;alpha1b-adrenoceptor;G04CA01;antagonist;8.600000
amisulpride;alpha1b-adrenoceptor;N05AL05;NA;5.000000
apomorphine;alpha1b-adrenoceptor;G04BE07. N04BC07;NA;6.170000
aripiprazole;alpha1b-adrenoceptor;N05AX12;antagonist;7.460956
brexpiprazole;alpha1b-adrenoceptor;N05AX16;antagonist;9.769551
bromocriptine;alpha1b-adrenoceptor;N04BC01. G02CB01;antagonist;8.860000
cabergoline;alpha1b-adrenoceptor;N04BC06. G02CB03;NA;7.220000
celecoxib;alpha1b-adrenoceptor;L01XX33. M01AH01;NA;5.000000
chlorpromazine;alpha1b-adrenoceptor;N05AA01;antagonist;9.091515
clonidine;alpha1b-adrenoceptor;C02AC01. N02CX02. S01EA04;agonist;6.500000
clozapine;alpha1b-adrenoceptor;N05AH02;antagonist;8.177420
cocaine;alpha1b-adrenoceptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
cyproheptadine;alpha1b-adrenoceptor;R06AX02;antagonist;7.600000
dexmedetomidine;alpha1b-adrenoceptor;N05CM18;NA;6.500000
diclofenac;alpha1b-adrenoceptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
doxazosin;alpha1b-adrenoceptor;C02CA04;antagonist;9.100000
ephedrine;alpha1b-adrenoceptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;NA;5.000000
epinephrine;alpha1b-adrenoceptor;A01AD01. B02BC09. C01CA24. R01AA14. R03AA01. S01EA01;agonist;5.757604
ergotamine;alpha1b-adrenoceptor;N02CA02;partial agonist;5.000000
etoricoxib;alpha1b-adrenoceptor;M01AH05;NA;5.000000
fenfluramine;alpha1b-adrenoceptor;A08AA02;NA;5.851372
fluphenazine;alpha1b-adrenoceptor;N05AB02;NA;7.886057
haloperidol;alpha1b-adrenoceptor;N05AD01;NA;8.096910
hyperici herba;alpha1b-adrenoceptor;N06AX25;NA;5.000000
ibuprofen;alpha1b-adrenoceptor;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
ketamine;alpha1b-adrenoceptor;N01AX03;NA;5.000000
ketorolac;alpha1b-adrenoceptor;M01AB15. S01BC05;NA;5.000000
loxapine;alpha1b-adrenoceptor;N05AH01;NA;7.275724
meloxicam;alpha1b-adrenoceptor;M01AC06;NA;5.000000
memantine;alpha1b-adrenoceptor;N06DX01;NA;5.000000
methionine;alpha1b-adrenoceptor;V03AB26;NA;5.000000
methoxamine;alpha1b-adrenoceptor;C01CA10;agonist;4.000000
methylphenidate;alpha1b-adrenoceptor;N06BA04;NA;5.000000
methysergide;alpha1b-adrenoceptor;N02CA04;NA;5.000000
mianserin;alpha1b-adrenoceptor;N06AX03;antagonist;7.400000
mitragynine;alpha1b-adrenoceptor;N02AX-a;NA;5.000000
naproxen;alpha1b-adrenoceptor;M01AE02. M02AA12. G02CC02;NA;5.000000
nimesulide;alpha1b-adrenoceptor;M01AX17. M02AA26;NA;5.000000
norepinephrine;alpha1b-adrenoceptor;C01CA03;agonist;5.600874
olanzapine;alpha1b-adrenoceptor;N05AH03;antagonist;6.580044
ondansetron;alpha1b-adrenoceptor;A04AA01;NA;5.000000
oxymetazoline;alpha1b-adrenoceptor;R01AA05. R01AB07. S01GA04;agonist;6.500000
parecoxib;alpha1b-adrenoceptor;M01AH04;NA;5.000000
pergolide;alpha1b-adrenoceptor;N04BC02;agonist;6.160000
phentolamine;alpha1b-adrenoceptor;C04AB01. V03AB36;antagonist;7.500000
phenylephrine;alpha1b-adrenoceptor;C01CA06. R01AA04. R01AB01. R01BA03. S01FB01. S01GA05;agonist;6.873864
piribedil;alpha1b-adrenoceptor;N04BC08;NA;5.210000
piroxicam;alpha1b-adrenoceptor;M01AC01. M02AA07. S01BC06;NA;5.000000
pramipexole;alpha1b-adrenoceptor;N04BC05;NA;5.000000
prazosin;alpha1b-adrenoceptor;C02CA01;antagonist;9.725767
pseudoephedrine;alpha1b-adrenoceptor;R01BA02;NA;5.000000
psylocibine;alpha1b-adrenoceptor;N06BA-d;NA;5.000000
quetiapine;alpha1b-adrenoceptor;N05AH04;antagonist;7.408935
risperidone;alpha1b-adrenoceptor;N05AX08;antagonist;8.286100
rofecoxib;alpha1b-adrenoceptor;M01AH02;NA;5.000000
ropinirole;alpha1b-adrenoceptor;N04BC04;antagonist;5.000000
silodosin;alpha1b-adrenoceptor;G04CA04;antagonist;7.700000
talipexole;alpha1b-adrenoceptor;N04BX-a;NA;5.410000
tamsulosin;alpha1b-adrenoceptor;G04CA02;antagonist;9.272002
terazosin;alpha1b-adrenoceptor;G04CA03;antagonist;8.768352
thioridazine;alpha1b-adrenoceptor;N05AC02;antagonist;8.619789
tianeptine;alpha1b-adrenoceptor;N06AX14;NA;5.000000
tiotixene;alpha1b-adrenoceptor;N05AF04;NA;7.455932
valdecoxib;alpha1b-adrenoceptor;M01AH03;NA;5.000000
yohimbine;alpha1b-adrenoceptor;G04BE04;NA;6.181921
ziprasidone;alpha1b-adrenoceptor;N05AE04;antagonist;8.045757
zotepine;alpha1b-adrenoceptor;N05AX11;NA;8.301030
epinephrine;alpha1c-adrenoceptor;A01AD01. B02BC09. C01CA24. R01AA14. R03AA01. S01EA01;NA;5.458572
methoxamine;alpha1c-adrenoceptor;C01CA10;NA;5.000000
norepinephrine;alpha1c-adrenoceptor;C01CA03;NA;5.124939
oxymetazoline;alpha1c-adrenoceptor;R01AA05. R01AB07. S01GA04;NA;7.552842
phentolamine;alpha1c-adrenoceptor;C04AB01. V03AB36;NA;8.853872
prazosin;alpha1c-adrenoceptor;C02CA01;NA;9.677781
urapidil;alpha1c-adrenoceptor;C02CA06;NA;8.376751
yohimbine;alpha1c-adrenoceptor;G04BE04;NA;6.113509
alfuzosin;alpha1d-adrenoceptor;G04CA01;antagonist;8.400000
amisulpride;alpha1d-adrenoceptor;N05AL05;NA;5.000000
apomorphine;alpha1d-adrenoceptor;G04BE07. N04BC07;NA;7.190000
bromocriptine;alpha1d-adrenoceptor;N04BC01. G02CB01;agonist;8.950000
cabergoline;alpha1d-adrenoceptor;N04BC06. G02CB03;NA;6.780000
clonidine;alpha1d-adrenoceptor;C02AC01. N02CX02. S01EA04;agonist;6.900000
clozapine;alpha1d-adrenoceptor;N05AH02;antagonist;7.700000
corbadrine;alpha1d-adrenoceptor;R01AA-a;agonist;5.600000
cyproheptadine;alpha1d-adrenoceptor;R06AX02;antagonist;6.900000
dapiprazole;alpha1d-adrenoceptor;S01EX02;antagonist;8.400000
dexmedetomidine;alpha1d-adrenoceptor;N05CM18;NA;7.100000
doxazosin;alpha1d-adrenoceptor;C02CA04;antagonist;9.100000
epinephrine;alpha1d-adrenoceptor;A01AD01. B02BC09. C01CA24. R01AA14. R03AA01. S01EA01;agonist;6.572671
ketamine;alpha1d-adrenoceptor;N01AX03;NA;5.000000
labetalol;alpha1d-adrenoceptor;C07AG01;antagonist;6.600000
methoxamine;alpha1d-adrenoceptor;C01CA10;agonist;4.900000
methylphenidate;alpha1d-adrenoceptor;N06BA04;NA;5.000000
mianserin;alpha1d-adrenoceptor;N06AX03;antagonist;7.500000
mitragynine;alpha1d-adrenoceptor;N02AX-a;NA;5.000000
norepinephrine;alpha1d-adrenoceptor;C01CA03;agonist;6.082763
ondansetron;alpha1d-adrenoceptor;A04AA01;NA;5.000000
oxymetazoline;alpha1d-adrenoceptor;R01AA05. R01AB07. S01GA04;agonist;6.400000
pergolide;alpha1d-adrenoceptor;N04BC02;agonist;6.530000
phentolamine;alpha1d-adrenoceptor;C04AB01. V03AB36;antagonist;8.200000
piribedil;alpha1d-adrenoceptor;N04BC08;NA;6.660000
pramipexole;alpha1d-adrenoceptor;N04BC05;NA;5.000000
prazosin;alpha1d-adrenoceptor;C02CA01;antagonist;9.828247
risperidone;alpha1d-adrenoceptor;N05AX08;antagonist;7.400000
ropinirole;alpha1d-adrenoceptor;N04BC04;antagonist;5.000000
silodosin;alpha1d-adrenoceptor;G04CA04;antagonist;8.700000
talipexole;alpha1d-adrenoceptor;N04BX-a;NA;5.900000
tamsulosin;alpha1d-adrenoceptor;G04CA02;antagonist;9.981894
terazosin;alpha1d-adrenoceptor;G04CA03;antagonist;9.139912
yohimbine;alpha1d-adrenoceptor;G04BE04;NA;6.398137
acetylsalicylic acid;alpha2a-adrenoceptor;A01AD05. B01AC06. N02BA01;NA;5.000000
amisulpride;alpha2a-adrenoceptor;N05AL05;NA;5.953115
apomorphine;alpha2a-adrenoceptor;G04BE07. N04BC07;agonist;6.874955
apraclonidine;alpha2a-adrenoceptor;S01EA03;agonist;8.500000
aripiprazole;alpha2a-adrenoceptor;N05AX12;antagonist;7.129889
atomoxetine;alpha2a-adrenoceptor;N06BA09;NA;6.000000
brimonidine;alpha2a-adrenoceptor;D11AX21. S01EA05;agonist;7.634789
bromocriptine;alpha2a-adrenoceptor;N04BC01. G02CB01;antagonist;7.979975
cabergoline;alpha2a-adrenoceptor;N04BC06. G02CB03;antagonist;7.909994
celecoxib;alpha2a-adrenoceptor;L01XX33. M01AH01;NA;5.000000
chlorpromazine;alpha2a-adrenoceptor;N05AA01;antagonist;6.461000
citalopram;alpha2a-adrenoceptor;N06AB04;NA;5.000000
clemastine;alpha2a-adrenoceptor;D04AA14. R06AA04;NA;5.864867
clomipramine;alpha2a-adrenoceptor;N06AA04;NA;6.279841
clonidine;alpha2a-adrenoceptor;C02AC01. N02CX02. S01EA04;agonist;7.741757
clozapine;alpha2a-adrenoceptor;N05AH02;antagonist;7.134186
cocaine;alpha2a-adrenoceptor;N01BC01. R02AD03. S01HA01. S02DA02;NA;5.000000
desipramine;alpha2a-adrenoceptor;N06AA01;NA;5.860436
dexmedetomidine;alpha2a-adrenoceptor;N05CM18;agonist;8.373436
diclofenac;alpha2a-adrenoceptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
duloxetine;alpha2a-adrenoceptor;N06AX21;NA;6.000000
ephedrine;alpha2a-adrenoceptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;agonist;5.000000
epinephrine;alpha2a-adrenoceptor;A01AD01. B02BC09. C01CA24. R01AA14. R03AA01. S01EA01;agonist;6.180153
ergotamine;alpha2a-adrenoceptor;N02CA02;partial agonist;6.974694
escitalopram;alpha2a-adrenoceptor;N06AB10;NA;5.000000
etoricoxib;alpha2a-adrenoceptor;M01AH05;NA;5.000000
fenfluramine;alpha2a-adrenoceptor;A08AA02;NA;6.264495
fluphenazine;alpha2a-adrenoceptor;N05AB02;NA;6.503001
fluspirilene;alpha2a-adrenoceptor;N05AG01;NA;6.244125
guanabenz;alpha2a-adrenoceptor;C02CC-a;agonist;7.528878
guanfacine;alpha2a-adrenoceptor;C02AC02;agonist;7.181110
haloperidol;alpha2a-adrenoceptor;N05AD01;NA;6.133116
hyperici herba;alpha2a-adrenoceptor;N06AX25;NA;5.000000
ibuprofen;alpha2a-adrenoceptor;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
iloperidone;alpha2a-adrenoceptor;N05AX14;NA;6.790244
ketamine;alpha2a-adrenoceptor;N01AX03;NA;5.000000
ketorolac;alpha2a-adrenoceptor;M01AB15. S01BC05;NA;5.000000
loxapine;alpha2a-adrenoceptor;N05AH01;NA;6.821311
lurasidone;alpha2a-adrenoceptor;N05AE05;antagonist;7.395201
meloxicam;alpha2a-adrenoceptor;M01AC06;NA;5.000000
memantine;alpha2a-adrenoceptor;N06DX01;NA;5.000000
metamfetamine;alpha2a-adrenoceptor;N06BA-l;NA;5.382790
methionine;alpha2a-adrenoceptor;V03AB26;NA;5.000000
methylphenidate;alpha2a-adrenoceptor;N06BA04;NA;5.251812
methysergide;alpha2a-adrenoceptor;N02CA04;NA;6.769551
mianserin;alpha2a-adrenoceptor;N06AX03;antagonist;8.318759
mirtazapine;alpha2a-adrenoceptor;N06AX11;antagonist;7.544901
mitragynine;alpha2a-adrenoceptor;N02AX-a;NA;5.212965
molindone;alpha2a-adrenoceptor;N05AE02;NA;5.959793
naphazoline;alpha2a-adrenoceptor;R01AA08. R01AB02. S01GA01;agonist;7.680000
naproxen;alpha2a-adrenoceptor;M01AE02. M02AA12. G02CC02;NA;5.000000
nimesulide;alpha2a-adrenoceptor;M01AX17. M02AA26;NA;5.000000
norepinephrine;alpha2a-adrenoceptor;C01CA03;agonist;6.228885
olanzapine;alpha2a-adrenoceptor;N05AH03;NA;6.511197
ondansetron;alpha2a-adrenoceptor;A04AA01;NA;5.000000
oxymetazoline;alpha2a-adrenoceptor;R01AA05. R01AB07. S01GA04;partial agonist;8.368495
parecoxib;alpha2a-adrenoceptor;M01AH04;NA;5.000000
pergolide;alpha2a-adrenoceptor;N04BC02;agonist;7.300000
perphenazine;alpha2a-adrenoceptor;N05AB03;NA;6.091247
phentolamine;alpha2a-adrenoceptor;C04AB01. V03AB36;antagonist;8.309454
pimozide;alpha2a-adrenoceptor;N05AG02;NA;5.797784
pipamperone;alpha2a-adrenoceptor;N05AD05;antagonist;6.065502
piribedil;alpha2a-adrenoceptor;N04BC08;antagonist;7.074956
piroxicam;alpha2a-adrenoceptor;M01AC01. M02AA07. S01BC06;NA;5.000000
pramipexole;alpha2a-adrenoceptor;N04BC05;agonist;6.409962
prazosin;alpha2a-adrenoceptor;C02CA01;antagonist;5.921572
propranolol;alpha2a-adrenoceptor;C07AA05;NA;6.000000
prucalopride;alpha2a-adrenoceptor;A06AX05;NA;5.000000
pseudoephedrine;alpha2a-adrenoceptor;R01BA02;agonist;5.336941
psylocibine;alpha2a-adrenoceptor;N06BA-d;NA;5.000000
quetiapine;alpha2a-adrenoceptor;N05AH04;antagonist;5.544885
reboxetine;alpha2a-adrenoceptor;N06AX18;NA;5.000000
rilmenidine;alpha2a-adrenoceptor;C02AC06;NA;5.800000
risperidone;alpha2a-adrenoceptor;N05AX08;antagonist;7.551777
rofecoxib;alpha2a-adrenoceptor;M01AH02;NA;5.000000
ropinirole;alpha2a-adrenoceptor;N04BC04;antagonist;5.730000
sertindole;alpha2a-adrenoceptor;N05AE03;NA;6.193820
talipexole;alpha2a-adrenoceptor;N04BX-a;NA;7.430000
thioridazine;alpha2a-adrenoceptor;N05AC02;NA;6.872409
tianeptine;alpha2a-adrenoceptor;N06AX14;NA;5.000000
tiotixene;alpha2a-adrenoceptor;N05AF04;NA;7.097181
tolazoline;alpha2a-adrenoceptor;C04AB02. M02AX02;antagonist;6.669933
tramazoline;alpha2a-adrenoceptor;R01AA09;NA;7.500000
trazodone;alpha2a-adrenoceptor;N06AX05;antagonist;6.137869
trifluoperazine;alpha2a-adrenoceptor;N05AB06;NA;6.184622
valdecoxib;alpha2a-adrenoceptor;M01AH03;NA;5.000000
venlafaxine;alpha2a-adrenoceptor;N06AX16;NA;5.477226
xylometazoline;alpha2a-adrenoceptor;R01AA07. R01AB06. S01GA03;agonist;7.820000
yohimbine;alpha2a-adrenoceptor;G04BE04;antagonist;8.693081
ziprasidone;alpha2a-adrenoceptor;N05AE04;antagonist;6.795880
zotepine;alpha2a-adrenoceptor;N05AX11;NA;6.685649
acetylsalicylic acid;alpha2b-adrenoceptor;A01AD05. B01AC06. N02BA01;NA;5.000000
apomorphine;alpha2b-adrenoceptor;G04BE07. N04BC07;antagonist;7.189993
aripiprazole;alpha2b-adrenoceptor;N05AX12;antagonist;6.989281
brimonidine;alpha2b-adrenoceptor;D11AX21. S01EA05;agonist;7.056912
bromocriptine;alpha2b-adrenoceptor;N04BC01. G02CB01;antagonist;7.479973
cabergoline;alpha2b-adrenoceptor;N04BC06. G02CB03;antagonist;7.119972
celecoxib;alpha2b-adrenoceptor;L01XX33. M01AH01;NA;5.000000
chlorpromazine;alpha2b-adrenoceptor;N05AA01;antagonist;7.767842
clemastine;alpha2b-adrenoceptor;D04AA14. R06AA04;NA;6.160522
clonidine;alpha2b-adrenoceptor;C02AC01. N02CX02. S01EA04;agonist;7.620986
clozapine;alpha2b-adrenoceptor;N05AH02;antagonist;7.603649
dexmedetomidine;alpha2b-adrenoceptor;N05CM18;agonist;8.230772
diclofenac;alpha2b-adrenoceptor;D11AX18. M01AB05. M02AA15. S01BC03;NA;5.000000
ephedrine;alpha2b-adrenoceptor;C01CA26. R01AA03. R01AB05. R03CA02. S01FB02;agonist;5.562565
epinephrine;alpha2b-adrenoceptor;A01AD01. B02BC09. C01CA24. R01AA14. R03AA01. S01EA01;agonist;5.682144
ergotamine;alpha2b-adrenoceptor;N02CA02;partial agonist;7.054039
etoricoxib;alpha2b-adrenoceptor;M01AH05;NA;5.000000
fenfluramine;alpha2b-adrenoceptor;A08AA02;NA;6.647751
fluphenazine;alpha2b-adrenoceptor;N05AB02;NA;7.087248
fluspirilene;alpha2b-adrenoceptor;N05AG01;NA;7.318759
guanabenz;alpha2b-adrenoceptor;C02CC-a;agonist;6.673829
guanfacine;alpha2b-adrenoceptor;C02AC02;agonist;6.031729
haloperidol;alpha2b-adrenoceptor;N05AD01;NA;6.318759
hyperici herba;alpha2b-adrenoceptor;N06AX25;NA;5.000000
ibuprofen;alpha2b-adrenoceptor;C01EB16. G02CC01. M01AE01. M02AA13. R02AX02;NA;5.000000
iloperidone;alpha2b-adrenoceptor;N05AX14;NA;6.790244
ketamine;alpha2b-adrenoceptor;N01AX03;NA;5.000000
ketorolac;alpha2b-adrenoceptor;M01AB15. S01BC05;NA;5.000000
loxapine;alpha2b-adrenoceptor;N05AH01;NA;6.967382
meloxicam;alpha2b-adrenoceptor;M01AC06;NA;5.000000
memantine;alpha2b-adrenoceptor;N06DX01;NA;5.000000
metamfetamine;alpha2b-adrenoceptor;N06BA-l;agonist;6.128194
methionine;alpha2b-adrenoceptor;V03AB26;NA;5.000000
methylphenidate;alpha2b-adrenoceptor;N06BA04;NA;5.614930
methysergide;alpha2b-adrenoceptor;N02CA04;NA;6.974694
mianserin;alpha2b-adrenoceptor;N06AX03;antagonist;7.568636
mirtazapine;alpha2b-adrenoceptor;N06AX11;antagonist;6.875461
mitragynine;alpha2b-adrenoceptor;N02AX-a;NA;5.471363
molindone;alpha2b-adrenoceptor;N05AE02;NA;6.253521
naphazoline;alpha2b-adrenoceptor;R01AA08. R01AB02. S01GA01;NA;6.390000
naproxen;alpha2b-adrenoceptor;M01AE02. M02AA12. G02CC02;NA;5.000000
nimesulide;alpha2b-adrenoceptor;M01AX17. M02AA26;NA;5.000000
norepinephrine;alpha2b-adrenoceptor;C01CA03;agonist;5.845191
olanzapine;alpha2b-adrenoceptor;N05AH03;NA;6.971184
ondansetron;alpha2b-adrenoceptor;A04AA01;NA;5.000000
oxymetazoline;alpha2b-adrenoceptor;R01AA05. R01AB07. S01GA04;partial agonist;5.920283
parecoxib;alpha2b-adrenoceptor;M01AH04;NA;5.000000
pergolide;alpha2b-adrenoceptor;N04BC02;agonist;7.494998
perphenazine;alpha2b-adrenoceptor;N05AB03;NA;6.979225
phenoxybenzamine;alpha2b-adrenoceptor;C04AX02;antagonist;8.477937
phentolamine;alpha2b-adrenoceptor;C04AB01. V03AB36;antagonist;8.036870
