AE;Target;Action;Intercept;Slope;SE;p_value
disturbance in attention;Serotonin 5-ht1a receptor;antagonist;-0.09;0.2;0.93;0.836794
disturbance in attention;Serotonin 5-ht1b receptor;agonist;0.06;0.08;0.1;0.494327
disturbance in attention;Serotonin 5-ht1b receptor;antagonist;2.29;-0.21;0.47;0.738809
disturbance in attention;Serotonin 5-ht1d receptor;agonist;0.71;-0.01;0.09;0.949074
disturbance in attention;Serotonin 5-ht1d receptor;antagonist;0.63;0.03;0.13;0.853029
disturbance in attention;Serotonin 5-ht1e receptor;agonist;1.67;-0.15;0.12;0.307509
disturbance in attention;Serotonin 5-ht7 receptor;antagonist;1.65;-0.04;0.54;0.943029
disturbance in attention;Serotonin 5-ht1f receptor;agonist;2.84;-0.34;0.21;0.351405
drug diversion;Serotonin 5-ht2a receptor;antagonist;-7.23;1.25;2.09;0.591922
drug diversion;Serotonin 5-ht2c receptor;antagonist;-14.77;2.65;3.68;0.603429
drug diversion;dopamine d2 receptor;antagonist;-0.2;0.14;0.52;0.807243
drug diversion;histamine h1 receptor;antagonist;4.55;-0.47;0.1;0.129776
drug diversion;Serotonin 5-ht1a receptor;antagonist;-26.88;5.08;14.76;0.788767
educational problem;Serotonin 5-ht2a receptor;antagonist;-1.98;0.31;0.14;0.091222
educational problem;Serotonin 5-ht2c receptor;antagonist;-1.08;0.23;0.23;0.426471
educational problem;dopamine d2 receptor;antagonist;-0.68;0.17;0.29;0.604434
educational problem;histamine h1 receptor;antagonist;4.66;-0.5;0.29;0.17923
educational problem;Serotonin 5-ht1b receptor;agonist;-2.36;0.44;0.16;0.222337
educational problem;Serotonin 5-ht1d receptor;agonist;-1.73;0.33;0.07;0.040875
educational problem;Serotonin 5-ht1e receptor;agonist;-9.32;1.65;0.33;0.126523
family stress;Serotonin 5-ht2a receptor;antagonist;-0.25;0.06;0.03;0.108391
family stress;Serotonin 5-ht2c receptor;antagonist;-0.32;0.07;0.02;0.052383
family stress;dopamine d2 receptor;antagonist;-0.35;0.07;0.03;0.083219
family stress;histamine h1 receptor;antagonist;0.22;0;0.05;0.999743
family stress;Serotonin 5-ht1a receptor;agonist;0.96;-0.12;0.12;0.495052
family stress;Serotonin 5-ht1b receptor;agonist;0.02;0.03;0.03;0.369567
family stress;Serotonin 5-ht1d receptor;agonist;-0.05;0.04;0.03;0.283553
family stress;Serotonin 5-ht1e receptor;agonist;0.06;0.03;0.19;0.902177
family stress;Serotonin 5-ht1f receptor;agonist;-0.44;0.1;0.11;0.527557
gambling;Serotonin 5-ht2a receptor;antagonist;-93.99;15.59;56.47;0.828526
gambling;histamine h1 receptor;antagonist;496.34;-56.88;25.91;0.272133
gambling;Serotonin 5-ht1d receptor;agonist;-331.17;56.16;19.52;0.212997
homicide;Serotonin 5-ht2a receptor;antagonist;3.14;-0.2;0.34;0.573333
homicide;Serotonin 5-ht2c receptor;antagonist;3.02;-0.15;0.56;0.809202
homicide;dopamine d2 receptor;antagonist;0.03;0.2;0.45;0.673448
homicide;histamine h1 receptor;antagonist;-0.46;0.25;0.34;0.490768
homicide;dopamine d3 receptor;antagonist;-0.59;0.26;0.02;0.039003
homicide;Serotonin 5-ht1a receptor;agonist;13.81;-1.84;0.56;0.187592
homicide;Serotonin 5-ht1b receptor;agonist;2.85;-0.21;0.77;0.812522
homicide;Serotonin 5-ht1d receptor;agonist;4.58;-0.43;0.4;0.357369
homicide;Serotonin 5-ht1e receptor;agonist;19.94;-2.97;0.43;0.020166
homicide;Serotonin 5-ht7 receptor;antagonist;2.63;-0.04;0.52;0.94542
homicide;Serotonin 5-ht1f receptor;agonist;5.61;-0.56;1.63;0.789799
hypersexuality;Serotonin 5-ht2a receptor;antagonist;2.51;-0.01;0.91;0.991539
hypersexuality;Serotonin 5-ht2c receptor;antagonist;2.41;-0.19;0.06;0.0815
hypersexuality;dopamine d2 receptor;antagonist;1.53;0.01;0.5;0.991651
hypersexuality;histamine h1 receptor;antagonist;1.69;0.11;0.95;0.915332
hypersexuality;dopamine d3 receptor;antagonist;6.84;-0.76;0.33;0.260947
hypersexuality;Serotonin 5-ht1a receptor;agonist;-5.47;1.11;0.31;0.068076
hypersexuality;Serotonin 5-ht1b receptor;agonist;12.53;-1.3;1.65;0.486759
hypersexuality;Serotonin 5-ht1d receptor;agonist;1.91;0.16;1.22;0.902454
hypersexuality;Serotonin 5-ht1e receptor;agonist;-5.3;1.1;0.45;0.094038
hypersexuality;Serotonin 5-ht7 receptor;antagonist;-8.52;1.46;0.05;0.023342
hypersexuality;Serotonin 5-ht1f receptor;agonist;-3.56;0.82;1.16;0.60818
impaired driving ability;Serotonin 5-ht2a receptor;antagonist;-0.16;0.07;0.12;0.597076
impaired driving ability;Serotonin 5-ht2c receptor;antagonist;0.63;-0.01;0.22;0.955779
impaired driving ability;dopamine d2 receptor;antagonist;0.39;0.01;0.17;0.968034
impaired driving ability;histamine h1 receptor;antagonist;0.84;-0.05;0.17;0.783365
impaired driving ability;Serotonin 5-ht1a receptor;agonist;-0.48;0.13;0.18;0.554226
impaired driving ability;Serotonin 5-ht1b receptor;agonist;-1.84;0.32;0.07;0.017108
impaired driving ability;Serotonin 5-ht1d receptor;agonist;-0.64;0.16;0.11;0.2362
impaired driving ability;Serotonin 5-ht1e receptor;agonist;0;0.08;0.23;0.752326
impaired driving ability;Serotonin 5-ht1f receptor;agonist;3.36;-0.48;0.07;0.094799
impaired quality of life;Serotonin 5-ht2a receptor;antagonist;0.2;0.01;0.06;0.940835
impaired quality of life;Serotonin 5-ht2c receptor;antagonist;-0.15;0.04;0.01;0.088992
impaired quality of life;dopamine d2 receptor;antagonist;-0.25;0.06;0.05;0.35144
impaired quality of life;histamine h1 receptor;antagonist;0.64;-0.05;0.05;0.357801
impaired quality of life;Serotonin 5-ht1d receptor;agonist;-1.04;0.2;0;0
impaired self-care;Serotonin 5-ht2a receptor;antagonist;6.01;-0.44;0.67;0.534596
impaired self-care;Serotonin 5-ht2c receptor;antagonist;6.12;-0.56;0.36;0.261412
impaired self-care;dopamine d2 receptor;antagonist;19.02;-1.49;5.27;0.785606
impaired self-care;histamine h1 receptor;antagonist;-2.96;0.69;0.64;0.332597
impaired self-care;dopamine d1 receptor;antagonist;-22.2;4.54;24.99;0.885472
impaired self-care;dopamine d3 receptor;antagonist;-10.73;2.85;7.98;0.755344
impaired self-care;dopamine d5 receptor;antagonist;-84.21;13.72;0.43;0.019869
impaired self-care;Serotonin 5-ht1a receptor;agonist;-14.46;2.83;2.04;0.397274
impaired self-care;Serotonin 5-ht1b receptor;agonist;9.4;-1.05;1.48;0.549772
impaired self-care;Serotonin 5-ht1d receptor;agonist;8.69;-0.91;0.8;0.335967
impaired self-care;Serotonin 5-ht1e receptor;agonist;-6.99;1.61;4.31;0.745347
impaired self-care;Serotonin 5-ht7 receptor;antagonist;1.41;0.14;0.19;0.592402
impaired self-care;Serotonin 5-ht1f receptor;agonist;-8.59;1.91;2.47;0.580117
impaired work ability;Serotonin 5-ht2a receptor;antagonist;0.07;0.04;0.09;0.685148
impaired work ability;Serotonin 5-ht2c receptor;antagonist;1.67;-0.15;0.15;0.419694
impaired work ability;dopamine d2 receptor;antagonist;0.92;-0.07;0.13;0.618816
impaired work ability;histamine h1 receptor;antagonist;-0.05;0.06;0.1;0.587904
impaired work ability;dopamine d1 receptor;antagonist;0.96;-0.1;0.31;0.795087
impaired work ability;dopamine d3 receptor;antagonist;-0.24;0.06;0.08;0.499319
impaired work ability;dopamine d4 receptor;antagonist;1.06;-0.11;0.06;0.311213
impaired work ability;Serotonin 5-ht1a receptor;agonist;-0.31;0.11;0.24;0.691536
impaired work ability;Serotonin 5-ht1b receptor;agonist;-1.18;0.22;0.04;0.014012
impaired work ability;Serotonin 5-ht1d receptor;agonist;0.06;0.06;0.12;0.649012
impaired work ability;Serotonin 5-ht1e receptor;agonist;0.16;0.05;0.21;0.824029
impaired work ability;Serotonin 5-ht7 receptor;antagonist;-0.65;0.12;0.03;0.144362
impaired work ability;Serotonin 5-ht1f receptor;agonist;4.47;-0.64;0.12;0.121038
imprisonment;Serotonin 5-ht2a receptor;antagonist;-3.99;1.01;2.17;0.658211
imprisonment;Serotonin 5-ht2c receptor;antagonist;-0.42;0.38;0.71;0.64529
imprisonment;dopamine d2 receptor;antagonist;-3.21;0.97;3.12;0.768213
imprisonment;histamine h1 receptor;antagonist;1.22;0.16;0.44;0.74037
imprisonment;dopamine d3 receptor;antagonist;8.26;-0.76;1.02;0.5928
imprisonment;Serotonin 5-ht1a receptor;agonist;-5.55;1.2;1.33;0.534728
imprisonment;Serotonin 5-ht1b receptor;agonist;2.74;-0.04;0.5;0.949246
imprisonment;Serotonin 5-ht1d receptor;agonist;0.54;0.25;0.33;0.505274
imprisonment;Serotonin 5-ht1e receptor;agonist;-11.63;2.26;0.8;0.104579
imprisonment;Serotonin 5-ht7 receptor;antagonist;-0.49;0.3;0.03;0.05458
imprisonment;Serotonin 5-ht1f receptor;agonist;-5.74;1.23;1.03;0.442663
job dissatisfaction;Serotonin 5-ht2a receptor;antagonist;-2.14;0.39;0.09;0.050571
job dissatisfaction;dopamine d2 receptor;antagonist;-0.24;0.15;0.25;0.655027
job dissatisfaction;histamine h1 receptor;antagonist;0.17;0.09;0.25;0.761651
job dissatisfaction;Serotonin 5-ht1a receptor;agonist;1.25;-0.06;0.54;0.927811
job dissatisfaction;Serotonin 5-ht1b receptor;agonist;1.03;0;0.58;1
job dissatisfaction;Serotonin 5-ht1d receptor;agonist;-0.96;0.29;0.23;0.329129
job dissatisfaction;Serotonin 5-ht1e receptor;agonist;-1.21;0.35;0.82;0.746154
job dissatisfaction;Serotonin 5-ht1f receptor;agonist;-2.16;0.48;0.07;0.094799
language disorder;Serotonin 5-ht2a receptor;antagonist;3.97;0.12;3.68;0.974274
language disorder;Serotonin 5-ht2c receptor;antagonist;-5.74;1.29;2.07;0.59621
language disorder;dopamine d2 receptor;antagonist;40.08;-4.57;3.27;0.2113
language disorder;histamine h1 receptor;antagonist;3.66;-0.13;1.18;0.916577
language disorder;dopamine d1 receptor;antagonist;10.12;-0.85;8.59;0.937044
language disorder;dopamine d3 receptor;antagonist;4.42;0.44;6.52;0.950568
language disorder;dopamine d4 receptor;antagonist;7.15;-0.4;6.95;0.962929
language disorder;dopamine d5 receptor;antagonist;-68.7;11;10.39;0.48192
language disorder;Serotonin 5-ht1a receptor;agonist;9.3;-1.26;0.8;0.36046
language disorder;Serotonin 5-ht1a receptor;antagonist;-12.74;2.83;11.81;0.850316
language disorder;Serotonin 5-ht1b receptor;agonist;-33.03;5.5;6.64;0.559584
language disorder;Serotonin 5-ht1d receptor;agonist;4.91;-0.58;0.75;0.517324
language disorder;Serotonin 5-ht1e receptor;agonist;16.07;-2.46;0.13;0.034424
language disorder;Serotonin 5-ht1f receptor;agonist;6.09;-0.76;1.1;0.61693
legal problem;Serotonin 5-ht2a receptor;antagonist;2.54;-0.14;0.64;0.84761
legal problem;Serotonin 5-ht2c receptor;antagonist;-1;0.29;0.63;0.722163
legal problem;dopamine d2 receptor;antagonist;-1.4;0.32;0.71;0.734262
legal problem;histamine h1 receptor;antagonist;-0.84;0.28;0.97;0.802597
legal problem;Serotonin 5-ht1d receptor;agonist;-3.91;0.89;0.59;0.376008
loss of employment;Serotonin 5-ht2a receptor;antagonist;3.77;-0.26;1.04;0.808232
loss of employment;Serotonin 5-ht2c receptor;antagonist;1.31;-0.1;0.09;0.389628
loss of employment;dopamine d2 receptor;antagonist;-0.4;0.12;0.17;0.52123
loss of employment;histamine h1 receptor;antagonist;4.9;-0.39;1.08;0.729767
loss of employment;dopamine d3 receptor;antagonist;-0.04;0.04;0.02;0.29433
loss of employment;Serotonin 5-ht1a receptor;agonist;-1.46;0.32;0.24;0.314747
loss of employment;Serotonin 5-ht1b receptor;agonist;12.78;-1.47;1.98;0.512176
loss of employment;Serotonin 5-ht1d receptor;agonist;1;0.17;1.43;0.911823
loss of employment;Serotonin 5-ht1e receptor;agonist;-1.42;0.32;0.18;0.173671
loss of employment;Serotonin 5-ht1f receptor;agonist;3.29;-0.44;0.1;0.139109
loss of personal independence in daily activities;Serotonin 5-ht2a receptor;antagonist;0.34;0.01;0.08;0.946557
loss of personal independence in daily activities;Serotonin 5-ht2c receptor;antagonist;0.79;-0.04;0.14;0.777303
loss of personal independence in daily activities;dopamine d2 receptor;antagonist;1.04;-0.07;0.15;0.651833
loss of personal independence in daily activities;histamine h1 receptor;antagonist;0.6;-0.03;0.08;0.769528
loss of personal independence in daily activities;dopamine d1 receptor;antagonist;-4.22;0.64;0.54;0.300965
loss of personal independence in daily activities;dopamine d3 receptor;antagonist;-0.41;0.12;0.24;0.641684
loss of personal independence in daily activities;dopamine d4 receptor;antagonist;0.54;-0.04;0.04;0.429144
loss of personal independence in daily activities;dopamine d5 receptor;antagonist;-2.81;0.49;0.21;0.097109
loss of personal independence in daily activities;Serotonin 5-ht1a receptor;agonist;0.7;-0.04;0.19;0.836628
loss of personal independence in daily activities;Serotonin 5-ht1a receptor;antagonist;0.17;0.02;0.06;0.817348
loss of personal independence in daily activities;Serotonin 5-ht1b receptor;agonist;-1.16;0.22;0.12;0.166836
loss of personal independence in daily activities;Serotonin 5-ht1d receptor;agonist;-0.07;0.07;0.13;0.585361
loss of personal independence in daily activities;Serotonin 5-ht1e receptor;agonist;1.19;-0.1;0.22;0.669866
loss of personal independence in daily activities;Serotonin 5-ht7 receptor;antagonist;0.53;-0.04;0;0.010059
loss of personal independence in daily activities;Serotonin 5-ht1f receptor;agonist;3.46;-0.48;0.07;0.094799
physical assault;Serotonin 5-ht2a receptor;antagonist;-1.11;0.43;0.51;0.411313
physical assault;Serotonin 5-ht2c receptor;antagonist;4.29;-0.19;0.89;0.840468
physical assault;dopamine d2 receptor;antagonist;-3.05;0.69;0.46;0.169326
physical assault;histamine h1 receptor;antagonist;-2.58;0.59;0.38;0.160023
physical assault;dopamine d1 receptor;antagonist;10.19;-1.15;0.13;0.069401
physical assault;dopamine d3 receptor;antagonist;4.43;-0.4;0.32;0.339868
physical assault;dopamine d4 receptor;antagonist;9.19;-0.92;0.14;0.095286
physical assault;dopamine d5 receptor;antagonist;-9.2;1.67;1.15;0.385722
physical assault;Serotonin 5-ht1a receptor;agonist;-2.54;0.74;0.24;0.089813
physical assault;Serotonin 5-ht1a receptor;antagonist;-17.87;3.32;5.26;0.592004
physical assault;Serotonin 5-ht1b receptor;agonist;-0.92;0.43;0.46;0.421436
physical assault;Serotonin 5-ht1d receptor;agonist;1.09;0.14;0.34;0.702044
physical assault;Serotonin 5-ht1e receptor;agonist;-2.86;0.8;0.24;0.045893
physical assault;Serotonin 5-ht7 receptor;antagonist;-2.07;0.72;1;0.547746
physical assault;Serotonin 5-ht1f receptor;agonist;1.26;0.13;0.12;0.472443
poor personal hygiene;Serotonin 5-ht2a receptor;antagonist;1;0.39;1.32;0.777704
poor personal hygiene;Serotonin 5-ht2c receptor;antagonist;-1.37;0.52;0.23;0.149157
poor personal hygiene;dopamine d2 receptor;antagonist;6.28;0;3.44;0.99973
poor personal hygiene;histamine h1 receptor;antagonist;-2.05;0.67;0.68;0.365836
poor personal hygiene;dopamine d3 receptor;antagonist;17.4;-1.87;0.89;0.281047
poor personal hygiene;Serotonin 5-ht1a receptor;agonist;-12.28;2.53;4.36;0.665234
poor personal hygiene;Serotonin 5-ht1b receptor;agonist;8.96;-0.76;1.41;0.643054
poor personal hygiene;Serotonin 5-ht1d receptor;agonist;4.45;-0.16;0.99;0.882161
poor personal hygiene;Serotonin 5-ht1e receptor;agonist;-20.55;3.95;4.19;0.445647
poor personal hygiene;Serotonin 5-ht7 receptor;antagonist;-7.89;1.67;0.06;0.021664
poor personal hygiene;Serotonin 5-ht1f receptor;agonist;-21.43;3.99;2.13;0.312157
sexual abuse;Serotonin 5-ht2a receptor;antagonist;6.01;-0.53;0.42;0.329359
sexual abuse;Serotonin 5-ht2c receptor;antagonist;5.17;-0.45;0.38;0.446817
sexual abuse;dopamine d2 receptor;antagonist;6.01;-0.51;0.42;0.434717
sexual abuse;histamine h1 receptor;antagonist;-5.55;0.89;0.58;0.260744
sexual abuse;Serotonin 5-ht1d receptor;agonist;9.42;-1.19;0.07;0.039803
social anxiety disorder;Serotonin 5-ht2a receptor;antagonist;9.72;-0.65;2.37;0.794015
social anxiety disorder;Serotonin 5-ht2c receptor;antagonist;18.81;-1.78;3.18;0.613789
social anxiety disorder;dopamine d2 receptor;antagonist;19.98;-2.19;0.53;0.026296
social anxiety disorder;histamine h1 receptor;antagonist;-2.1;0.85;2.59;0.756572
social anxiety disorder;Serotonin 5-ht1a receptor;antagonist;-67.93;11.6;5.27;0.271413
social anxiety disorder;Serotonin 5-ht1b receptor;agonist;1.75;0.03;0.25;0.931351
social anxiety disorder;Serotonin 5-ht1d receptor;agonist;8.22;-0.75;0.81;0.450309
social anxiety disorder;Serotonin 5-ht1e receptor;agonist;9.4;-1.04;6.51;0.89924
social avoidant behaviour;Serotonin 5-ht2a receptor;antagonist;5.79;-0.37;0.39;0.363013
social avoidant behaviour;Serotonin 5-ht2c receptor;antagonist;2.06;0.03;0.24;0.914904
social avoidant behaviour;dopamine d2 receptor;antagonist;0.59;0.39;0.85;0.656391
social avoidant behaviour;histamine h1 receptor;antagonist;4.33;-0.2;0.43;0.660929
social avoidant behaviour;dopamine d1 receptor;antagonist;-11.86;2.11;2.65;0.509401
social avoidant behaviour;dopamine d3 receptor;antagonist;-8.84;1.78;1.14;0.215206
social avoidant behaviour;dopamine d5 receptor;antagonist;-9.64;1.9;0.61;0.089028
social avoidant behaviour;Serotonin 5-ht1a receptor;agonist;3.74;-0.21;0.17;0.342524
social avoidant behaviour;Serotonin 5-ht1a receptor;antagonist;-13.63;2.74;1.92;0.388846
social avoidant behaviour;Serotonin 5-ht1b receptor;agonist;3.45;-0.18;0.16;0.356411
social avoidant behaviour;Serotonin 5-ht1d receptor;agonist;3.18;-0.14;0.11;0.264124
social avoidant behaviour;Serotonin 5-ht1e receptor;agonist;2.97;-0.12;0.22;0.638731
social avoidant behaviour;Serotonin 5-ht7 receptor;antagonist;9.89;-0.92;0.97;0.443898
social avoidant behaviour;Serotonin 5-ht1f receptor;agonist;1.13;0.2;0.53;0.776568
social problem;Serotonin 5-ht2a receptor;antagonist;0.25;0.05;0.32;0.885769
social problem;Serotonin 5-ht2c receptor;antagonist;-0.14;0.06;0.05;0.422325
social problem;dopamine d2 receptor;antagonist;0.81;-0.05;0.12;0.693136
social problem;histamine h1 receptor;antagonist;1.07;-0.05;0.28;0.871855
social problem;dopamine d3 receptor;antagonist;1.77;-0.18;0.09;0.29433
social problem;Serotonin 5-ht1a receptor;agonist;-1.56;0.31;0.44;0.604373
social problem;Serotonin 5-ht1b receptor;agonist;53.73;-8.5;2.02;0.148587
social problem;Serotonin 5-ht1d receptor;agonist;-7.27;1.27;0.27;0.041142
social problem;Serotonin 5-ht1e receptor;agonist;-4.41;0.81;0.38;0.278338
social problem;Serotonin 5-ht1f receptor;agonist;-2.11;0.4;0.27;0.373017
speech disorder;Serotonin 5-ht2a receptor;antagonist;12.42;-1.22;0.64;0.069404
speech disorder;Serotonin 5-ht2c receptor;antagonist;13.25;-1.46;1;0.182395
speech disorder;dopamine d2 receptor;antagonist;-6.67;1.13;0.81;0.181877
speech disorder;histamine h1 receptor;antagonist;6.99;-0.63;0.45;0.181539
speech disorder;dopamine d1 receptor;antagonist;39.14;-4.8;4.21;0.298273
speech disorder;dopamine d3 receptor;antagonist;-10.85;1.84;1.61;0.277692
speech disorder;dopamine d4 receptor;antagonist;22.82;-2.6;1.5;0.143122
speech disorder;dopamine d5 receptor;antagonist;4.36;-0.37;0.35;0.342896
speech disorder;Serotonin 5-ht1a receptor;agonist;-0.76;0.3;0.24;0.345992
speech disorder;Serotonin 5-ht1a receptor;antagonist;-13.22;2.41;1.81;0.224706
speech disorder;Serotonin 5-ht1b receptor;agonist;-0.09;0.18;0.28;0.569253
speech disorder;Serotonin 5-ht1d receptor;agonist;0.46;0.09;0.2;0.68972
speech disorder;Serotonin 5-ht1d receptor;antagonist;2.88;-0.26;0.32;0.575377
speech disorder;Serotonin 5-ht1e receptor;agonist;-0.98;0.34;0.18;0.160507
speech disorder;Serotonin 5-ht7 receptor;antagonist;2.46;-0.2;0.22;0.42396
speech disorder;Serotonin 5-ht1f receptor;agonist;-2.99;0.65;0.19;0.179893
theft;Serotonin 5-ht2a receptor;antagonist;16.5;-0.95;11.2;0.946208
theft;histamine h1 receptor;antagonist;154.65;-18.63;24.58;0.587058
unemployment;Serotonin 5-ht2a receptor;antagonist;-7.57;1.43;1.28;0.380402
unemployment;Serotonin 5-ht2c receptor;antagonist;-0.76;0.72;1.71;0.746587
unemployment;dopamine d2 receptor;antagonist;3.13;0.18;2.53;0.953965
unemployment;histamine h1 receptor;antagonist;19.93;-1.95;2.17;0.462936
unemployment;Serotonin 5-ht1b receptor;agonist;-12.6;2.44;0.45;0.115793
unemployment;Serotonin 5-ht1d receptor;agonist;-5.64;1.39;0.69;0.181445
unemployment;Serotonin 5-ht1e receptor;agonist;-42.51;7.85;0.04;0.003603
verbal abuse;Serotonin 5-ht2a receptor;antagonist;3.73;0.14;3.14;0.965237
verbal abuse;Serotonin 5-ht2c receptor;antagonist;20.12;-1.86;4.66;0.717413
verbal abuse;dopamine d2 receptor;antagonist;-34.54;4.94;2.93;0.152312
verbal abuse;histamine h1 receptor;antagonist;1.84;0.39;2.92;0.899025
verbal abuse;dopamine d3 receptor;antagonist;-0.52;0.39;0.05;0.082034
verbal abuse;Serotonin 5-ht1a receptor;agonist;6.08;-0.62;0.27;0.262872
verbal abuse;Serotonin 5-ht1b receptor;agonist;2.04;0.03;0.25;0.91222
verbal abuse;Serotonin 5-ht1d receptor;agonist;1.89;0.05;0.14;0.746877
verbal abuse;Serotonin 5-ht1e receptor;agonist;6.03;-0.63;0.51;0.339547
verbal abuse;Serotonin 5-ht7 receptor;antagonist;-3.04;0.86;0.04;0.032553
verbal abuse;Serotonin 5-ht1f receptor;agonist;3.8;-0.26;0.55;0.714518
