AE;Target;Action;Intercept;Slope;SE;p_value;Rank;BH20;Sign20
loss of personal independence in daily activities;Dopamine D1 receptor;Antagonist;-8.7;1.29;0.39;0.030486; 27;0,0109311741;FALSE
impaired work ability;Serotonin 5-HT2 receptor;Inverse Agonist;-5.21;0.65;0.12;0.033329; 28;0,0113360324;FALSE
social anxiety disorder;Dopamine D2 receptor;Antagonist;17.83;-1.92;0.52;0.034165; 29;0,0117408907;FALSE
drug diversion;Serotonin transporter;Antagonist;7.41;-0.81;0.3;0.034452; 30;0,0121457490;FALSE
verbal abuse;Serotonin 5-HT7 receptor;Antagonist;-2.3;0.78;0.15;0.034499; 31;0,0125506073;FALSE
speech disorder;Serotonin 5-HT2 receptor;Inverse Agonist;8.12;-0.79;0.3;0.036965; 32;0,0129554656;FALSE
aggression;Muscarinic M3 receptor;Antagonist;11.19;-1.09;0.46;0.037543; 33;0,0133603239;FALSE
disturbance in attention;Muscarinic M2 receptor;Antagonist;2.79;-0.24;0.1;0.038431; 34;0,0137651822;FALSE
impaired work ability;Serotonin transporter;Antagonist;2.06;-0.16;0.07;0.039114; 35;0,0141700405;FALSE
disability;Dopamine D5 receptor;Antagonist;-24.08;3.78;1.11;0.042448; 36;0,0145748988;FALSE
speech disorder;Dopamine D2 receptor;Partial Agonist;3.17;-0.3;0.09;0.042686; 37;0,0149797571;FALSE
drug diversion;Serotonin 5-HT2 receptor;Antagonist;-22;3.57;1.23;0.043613; 38;0,0153846154;FALSE
educational problem;Histamine H1 receptor;Antagonist;8.29;-0.94;0.35;0.044119; 39;0,0157894737;FALSE
hypersexuality;Adrenergic Alpha1 receptor;Antagonist;264.63;-32.1;7;0.044411; 40;0,0161943320;FALSE
antisocial behaviour;GABA A receptor;Agonist;-2.75;0.52;0.12;0.046285; 41;0,0165991903;FALSE
language disorder;Dopamine D4 receptor;Antagonist;-210.56;27;6.56;0.05428; 42;0,0170040486;FALSE
aggression;Serotonin 5-HT1 receptor;Antagonist;-13.35;2.71;1.18;0.054924; 43;0,0174089069;FALSE
disturbance in attention;Dopamine transporter;Antagonist;-2.43;0.77;0.36;0.055671; 44;0,0178137652;FALSE
loss of personal independence in daily activities;Muscarinic M5 receptor;Antagonist;-3.17;0.49;0.22;0.057301; 45;0,0182186235;FALSE
social avoidant behaviour;Muscarinic M1 receptor;Antagonist;-2.33;0.4;0.1;0.057975; 46;0,0186234818;FALSE
aggression;Dopamine D2 receptor;Antagonist;-8.4;1.38;0.69;0.060947; 47;0,0190283401;FALSE
speech disorder;Serotonin 5-HT6 receptor;Inverse Agonist;16.1;-1.83;0.77;0.061867; 48;0,0194331984;FALSE
social avoidant behaviour;Serotonin 5-HT2 receptor;Inverse Agonist;13.44;-1.32;0.46;0.063831; 49;0,0198380567;FALSE
loss of personal independence in daily activities;Progesterone receptor;Agonist;8.23;-0.85;0.36;0.06409; 50;0,0202429150;FALSE
sexual abuse;Norepinephrine transporter;Antagonist;6.51;-0.66;0.26;0.064861; 51;0,0206477733;FALSE
social avoidant behaviour;Muscarinic M3 receptor;Antagonist;-2.23;0.39;0.11;0.067896; 52;0,0210526316;FALSE
disturbance in attention;Serotonin 5-HT7 receptor;Inverse Agonist;-3.25;0.48;0.21;0.068372; 53;0,0214574899;FALSE
impaired driving ability;GABA A receptor;Agonist;32.51;-3.92;1.41;0.069316; 54;0,0218623482;FALSE
speech disorder;Serotonin 5-HT7 receptor;Inverse Agonist;11.55;-1.24;0.54;0.072162; 55;0,0222672065;FALSE
aggression;Muscarinic M2 receptor;Antagonist;9.95;-1;0.49;0.07337; 56;0,0226720648;FALSE
social avoidant behaviour;Dopamine D5 receptor;Antagonist;-13.23;2.36;0.68;0.073865; 57;0,0230769231;FALSE
disturbance in attention;Adrenergic Alpha2 receptor;Partial Agonist;7.86;-1.04;0.3;0.075094; 58;0,0234817814;FALSE
loss of personal independence in daily activities;Muscarinic M4 receptor;Antagonist;-2.33;0.39;0.19;0.076027; 59;0,0238866397;FALSE
speech disorder;Dopamine D2 receptor;Agonist;-1;0.23;0.1;0.078136; 60;0,0242914980;FALSE
aggression;Dopamine D2 receptor;Partial Agonist;3.22;-0.22;0.1;0.079118; 61;0,0246963563;FALSE
aggression;Dopamine D1 receptor;Antagonist;-39.75;5.96;2.83;0.079828; 62;0,0251012146;FALSE
speech disorder;Dopamine D5 receptor;Agonist;4.21;-0.49;0.15;0.080318; 63;0,0255060729;FALSE
hypersexuality;Serotonin 5-HT1 receptor;Agonist;-5.19;1.09;0.33;0.081103; 64;0,0259109312;FALSE
impaired driving ability;Adrenergic Beta2 receptor;Agonist;2.32;-0.18;0.05;0.081297; 65;0,0263157895;FALSE
impaired quality of life;Delta opioid receptor;Agonist;2.19;-0.24;0.07;0.084652; 66;0,0267206478;FALSE
sexual abuse;Serotonin transporter;Antagonist;10.13;-0.89;0.42;0.084729; 67;0,0271255061;FALSE
speech disorder;Glucocorticoid receptor;Agonist;-0.16;0.15;0.08;0.089798; 68;0,0275303644;FALSE
disability;Muscarinic M3 receptor;Antagonist;-4.8;0.72;0.37;0.091706; 69;0,0279352227;FALSE
imprisonment;Norepinephrine transporter;Antagonist;4.95;-0.5;0.26;0.091755; 70;0,0283400810;FALSE
language disorder;Serotonin 5-HT2 receptor;Antagonist;-5.01;1.06;0.43;0.091778; 71;0,0287449393;FALSE
homicide;Delta opioid receptor;Agonist;12.08;-1.33;0.55;0.094983; 72;0,0291497976;FALSE
impaired work ability;Dopamine transporter;Antagonist;2.98;-0.38;0.2;0.095089; 73;0,0295546559;FALSE
speech disorder;GABA A receptor;Agonist;-9.6;1.45;0.67;0.095333; 74;0,0299595142;FALSE
speech disorder;Serotonin 5-HT2 receptor;Partial Agonist;-14.55;2.23;1.03;0.096171; 75;0,0303643725;FALSE
aggression;Muscarinic M5 receptor;Antagonist;11.57;-1.18;0.63;0.09853; 76;0,0307692308;FALSE
impaired work ability;Norepinephrine transporter;Antagonist;1.87;-0.15;0.09;0.099206; 77;0,0311740891;FALSE
speech disorder;Dopamine transporter;Antagonist;3.11;-0.39;0.22;0.103207; 78;0,0315789474;FALSE
social avoidant behaviour;Dopamine D1 receptor;Antagonist;-23.39;3.76;1.34;0.106512; 79;0,0319838057;FALSE
aggression;Dopamine D5 receptor;Agonist;-0.81;0.25;0.09;0.10771; 80;0,0323886640;FALSE
sexual abuse;GABA A receptor;Agonist;56.19;-6.68;2.41;0.10901; 81;0,0327935223;FALSE
impaired driving ability;Serotonin 5-HT2 receptor;Inverse Agonist;-7.73;0.95;0.35;0.111956; 82;0,0331983806;FALSE
poor personal hygiene;Serotonin transporter;Antagonist;6.83;-0.65;0.33;0.116834; 83;0,0336032389;FALSE
aggression;Norepinephrine transporter;Antagonist;-3.33;0.83;0.51;0.117565; 84;0,0340080972;FALSE
verbal abuse;Serotonin 5-HT2 receptor;Inverse Agonist;-12.02;1.7;0.78;0.11862; 85;0,0344129555;FALSE
marital problem;Norepinephrine transporter;Antagonist;8.28;-1.01;0.47;0.1198; 86;0,0348178138;FALSE
family stress;Serotonin 5-HT2 receptor;Antagonist;-4.4;0.74;0.35;0.122306; 87;0,0352226721;FALSE
impaired quality of life;Dopamine D2 receptor;Antagonist;-0.35;0.07;0.03;0.124303; 88;0,0356275304;FALSE
gambling;Dopamine D2 receptor;Agonist;197.96;-19.73;9.37;0.12581; 89;0,0360323887;FALSE
impaired self-care;Serotonin 5-HT2 receptor;Inverse Agonist;47.69;-5.24;2.51;0.128138; 90;0,0364372470;FALSE
disability;Serotonin 5-HT7 receptor;Inverse Agonist;5.49;-0.62;0.33;0.130761; 91;0,0368421053;FALSE
social avoidant behaviour;Dopamine D2 receptor;Antagonist;-3.63;0.82;0.49;0.13184; 92;0,0372469636;FALSE
speech disorder;Muscarinic M5 receptor;Antagonist;-1.3;0.36;0.22;0.131904; 93;0,0376518219;FALSE
physical assault;Serotonin 5-HT6 receptor;Inverse Agonist;54.22;-6.57;2.66;0.132491; 94;0,0380566802;FALSE
disability;Serotonin 5-HT1 receptor;Partial Agonist;26.72;-3.29;1.75;0.132957; 95;0,0384615385;FALSE
crime;Serotonin transporter;Antagonist;61.26;-6.73;3.88;0.133241; 96;0,0388663968;FALSE
disability;Muscarinic M1 receptor;Antagonist;-5.09;0.76;0.45;0.133309; 97;0,0392712551;FALSE
disturbance in attention;Adrenergic Beta2 receptor;Agonist;1.76;-0.16;0.08;0.134482; 98;0,0396761134;FALSE
speech disorder;Dopamine D1 receptor;Agonist;4.72;-0.62;0.26;0.135214; 99;0,0400809717;FALSE
impaired driving ability;Histamine H1 receptor;Antagonist;3.18;-0.3;0.19;0.136404;100;0,0404858300;FALSE
disturbance in attention;Dopamine D1 receptor;Antagonist;-8.35;1.26;0.68;0.138013;101;0,0408906883;FALSE
disturbance in attention;Mu opioid receptor;Agonist;1.76;-0.11;0.07;0.138203;102;0,0412955466;FALSE
impaired work ability;Kappa opioid receptor;Agonist;3.3;-0.33;0.14;0.140469;103;0,0417004049;FALSE
verbal abuse;Serotonin 5-HT2 receptor;Antagonist;-47.87;7.94;4.36;0.14272;104;0,0421052632;FALSE
aggression;Melatonin receptor;Agonist;10.06;-0.88;0.38;0.143736;105;0,0425101215;FALSE
impaired quality of life;Glucocorticoid receptor;Agonist;3.82;-0.33;0.19;0.146767;106;0,0429149798;FALSE
aggression;Dopamine D3 receptor;Agonist;9.82;-1.11;0.5;0.159614;107;0,0433198381;FALSE
aggression;Glucocorticoid receptor;Agonist;-1.01;0.25;0.17;0.160814;108;0,0437246964;FALSE
hypersexuality;Dopamine D2 receptor;Agonist;199.69;-17.68;9.63;0.163817;109;0,0441295547;FALSE
speech disorder;Dopamine D3 receptor;Partial Agonist;3.05;-0.25;0.14;0.165087;110;0,0445344130;FALSE
physical assault;Serotonin 5-HT1 receptor;Partial Agonist;-111.05;15.3;8.4;0.166168;111;0,0449392713;FALSE
impaired quality of life;Adrenergic Beta2 receptor;Agonist;11.05;-1.17;0.55;0.167733;112;0,0453441296;FALSE
social avoidant behaviour;Dopamine transporter;Antagonist;3;-0.23;0.15;0.168488;113;0,0457489879;FALSE
impaired work ability;Muscarinic M4 receptor;Antagonist;-1.77;0.33;0.2;0.169754;114;0,0461538462;FALSE
loss of employment;Dopamine transporter;Antagonist;16.56;-2.42;1.51;0.170201;115;0,0465587045;FALSE
disturbance in attention;Dopamine D3 receptor;Partial Agonist;-0.56;0.13;0.07;0.17138;116;0,0469635628;FALSE
homicide;Histamine H1 receptor;Antagonist;-4.43;0.9;0.61;0.172143;117;0,0473684211;FALSE
aggression;Muscarinic M1 receptor;Antagonist;9.01;-0.85;0.59;0.172212;118;0,0477732794;FALSE
aggression;Muscarinic M4 receptor;Antagonist;8.77;-0.83;0.57;0.175766;119;0,0481781377;FALSE
hypersexuality;Adrenergic Alpha2 receptor;Antagonist;621.67;-79.24;45.35;0.178936;120;0,0485829960;FALSE
impaired self-care;Dopamine transporter;Antagonist;5.21;-0.67;0.33;0.179901;121;0,0489878543;FALSE
social anxiety disorder;Norepinephrine transporter;Antagonist;-476.85;83.48;57.05;0.181531;122;0,0493927126;FALSE
hypersexuality;Dopamine D4 receptor;Antagonist;219.25;-26.79;13.33;0.182171;123;0,0497975709;FALSE
disturbance in attention;Dopamine D5 receptor;Antagonist;-4.97;0.8;0.46;0.182639;124;0,0502024291;FALSE
impaired driving ability;Serotonin transporter;Antagonist;2.24;-0.17;0.12;0.182933;125;0,0506072874;FALSE
imprisonment;Serotonin transporter;Antagonist;9.06;-0.79;0.56;0.189315;126;0,0510121457;FALSE
physical assault;Histamine H1 receptor;Antagonist;-2.17;0.54;0.39;0.190018;127;0,0514170040;FALSE
antisocial behaviour;Histamine H1 receptor;Antagonist;-2.91;0.64;0.44;0.191221;128;0,0518218623;FALSE
impaired work ability;Histamine H1 receptor;Antagonist;-2.49;0.42;0.31;0.197215;129;0,0522267206;FALSE
impaired driving ability;Delta opioid receptor;Agonist;3.86;-0.37;0.2;0.203768;130;0,0526315789;FALSE
school refusal;Serotonin transporter;Antagonist;46.78;-4.76;2.56;0.204122;131;0,0530364372;FALSE
verbal abuse;Dopamine D2 receptor;Antagonist;-28.51;4.21;2.9;0.206124;132;0,0534412955;FALSE
impaired driving ability;Serotonin 5-HT3 receptor;Antagonist;2.98;-0.34;0.21;0.206771;133;0,0538461538;FALSE
drug diversion;GABA A receptor;Agonist;-18.1;3.21;2.01;0.207849;134;0,0542510121;FALSE
loss of personal independence in daily activities;Adrenergic Beta2 receptor;Agonist;-1.68;0.5;0.34;0.212577;135;0,0546558704;FALSE
speech disorder;Serotonin 5-HT1 receptor;Agonist;-7.4;1.49;1.07;0.212689;136;0,0550607287;FALSE
compulsive shopping;Norepinephrine transporter;Antagonist;-0.66;0.18;0.12;0.214397;137;0,0554655870;FALSE
educational problem;Dopamine transporter;Antagonist;-29.97;5.72;3.65;0.214627;138;0,0558704453;FALSE
drug diversion;Norepinephrine transporter;Antagonist;23.34;-3.17;2.29;0.214691;139;0,0562753036;FALSE
impaired work ability;Delta opioid receptor;Agonist;2.81;-0.3;0.19;0.219658;140;0,0566801619;FALSE
impaired self-care;GABA A receptor;Agonist;-2.77;0.5;0.29;0.219693;141;0,0570850202;FALSE
legal problem;Histamine H1 receptor;Antagonist;16.68;-1.83;1.26;0.222081;142;0,0574898785;FALSE
disturbance in attention;Dopamine D2 receptor;Partial Agonist;-0.53;0.13;0.09;0.223927;143;0,0578947368;FALSE
hypersexuality;Dopamine D2 receptor;Partial Agonist;215.42;-21.88;12.67;0.226386;144;0,0582995951;FALSE
language disorder;Dopamine D3 receptor;Antagonist;-85.72;12.91;9.16;0.231332;145;0,0587044534;FALSE
impaired work ability;Mu opioid receptor;Agonist;1.62;-0.12;0.09;0.231527;146;0,0591093117;FALSE
loss of personal independence in daily activities;Dopamine D3 receptor;Antagonist;-2.03;0.31;0.23;0.235262;147;0,0595141700;FALSE
impaired work ability;Muscarinic M2 receptor;Antagonist;-1.26;0.27;0.2;0.23622;148;0,0599190283;FALSE
unemployment;Serotonin transporter;Antagonist;14.77;-1.32;0.89;0.236684;149;0,0603238866;FALSE
social avoidant behaviour;Progesterone receptor;Agonist;-4.61;0.71;0.51;0.237684;150;0,0607287449;FALSE
compulsive shopping;Serotonin 5-HT2 receptor;Partial Agonist;-238.84;37.02;22.42;0.240483;151;0,0611336032;FALSE
impaired driving ability;Norepinephrine transporter;Antagonist;2.3;-0.19;0.15;0.242067;152;0,0615384615;FALSE
family stress;Dopamine D2 receptor;Antagonist;-0.22;0.06;0.04;0.243107;153;0,0619433198;FALSE
hypersexuality;Serotonin 5-HT2 receptor;Inverse Agonist;10.42;-1.06;0.74;0.245769;154;0,0623481781;FALSE
physical assault;Serotonin 5-HT7 receptor;Inverse Agonist;20.35;-2.28;1.59;0.246442;155;0,0627530364;FALSE
compulsive shopping;Serotonin 5-HT2 receptor;Antagonist;143.61;-20.29;14.17;0.247429;156;0,0631578947;FALSE
disability;Serotonin 5-HT3 receptor;Antagonist;-2.62;0.56;0.39;0.250579;157;0,0635627530;FALSE
aggression;Serotonin 5-HT7 receptor;Inverse Agonist;-11.92;1.92;1.52;0.252521;158;0,0639676113;FALSE
disability;Muscarinic M5 receptor;Antagonist;-4.57;0.75;0.56;0.252849;159;0,0643724696;FALSE
aggression;Acetylcholinesterase;Antagonist;9.22;-0.82;0.52;0.256378;160;0,0647773279;FALSE
aggression;Delta opioid receptor;Agonist;3.15;-0.26;0.19;0.25671;161;0,0651821862;FALSE
speech disorder;Muscarinic M4 receptor;Antagonist;-0.29;0.24;0.2;0.257547;162;0,0655870445;FALSE
physical assault;Glucocorticoid receptor;Agonist;6.81;-0.64;0.41;0.26015;163;0,0659919028;FALSE
physical assault;Serotonin 5-HT7 receptor;Antagonist;-4.99;1.07;0.77;0.260916;164;0,0663967611;FALSE
social avoidant behaviour;Norepinephrine transporter;Antagonist;3.39;-0.25;0.22;0.268407;165;0,0668016194;FALSE
social avoidant behaviour;Dopamine D3 receptor;Antagonist;-4.46;0.95;0.63;0.269315;166;0,0672064777;FALSE
loss of personal independence in daily activities;Serotonin 5-HT7 receptor;Antagonist;0.54;-0.04;0.03;0.271285;167;0,0676113360;FALSE
compulsive shopping;Dopamine D3 receptor;Partial Agonist;130.95;-13.49;10.09;0.273744;168;0,0680161943;FALSE
loss of employment;Glucocorticoid receptor;Agonist;-0.65;0.17;0.11;0.27439;169;0,0684210526;FALSE
gambling;Norepinephrine transporter;Antagonist;0.08;0.03;0.02;0.276605;170;0,0688259109;FALSE
physical assault;Serotonin 5-HT2 receptor;Antagonist;-1.88;0.65;0.55;0.277958;171;0,0692307692;FALSE
poor personal hygiene;Norepinephrine transporter;Antagonist;3.96;-0.39;0.3;0.278437;172;0,0696356275;FALSE
loss of personal independence in daily activities;Adrenergic Beta1 receptor;Antagonist;-0.25;0.2;0.16;0.284289;173;0,0700404858;FALSE
educational problem;Norepinephrine transporter;Antagonist;-7.94;1.82;1.56;0.287838;174;0,0704453441;FALSE
loss of employment;Serotonin 5-HT1 receptor;Agonist;-1.49;0.33;0.23;0.289178;175;0,0708502024;FALSE
loss of employment;Norepinephrine transporter;Antagonist;6.57;-0.8;0.71;0.290028;176;0,0712550607;FALSE
disability;Dopamine D3 receptor;Antagonist;-12.46;1.73;1.42;0.290168;177;0,0716599190;FALSE
aggression;Serotonin 5-HT2 receptor;Inverse Agonist;-13.55;1.99;1.75;0.291628;178;0,0720647773;FALSE
theft;Mu opioid receptor;Agonist;8.61;-0.61;0.48;0.294442;179;0,0724696356;FALSE
loss of personal independence in daily activities;Norepinephrine transporter;Antagonist;1.13;-0.08;0.07;0.295064;180;0,0728744939;FALSE
family stress;Norepinephrine transporter;Antagonist;0.01;0.05;0.04;0.295291;181;0,0732793522;FALSE
family stress;GABA A receptor;Agonist;1.47;-0.16;0.11;0.296828;182;0,0736842105;FALSE
impaired work ability;Muscarinic M5 receptor;Antagonist;-1.57;0.29;0.23;0.297793;183;0,0740890688;FALSE
educational problem;Dopamine D2 receptor;Antagonist;-2.24;0.37;0.27;0.298974;184;0,0744939271;FALSE
speech disorder;Serotonin transporter;Antagonist;3.96;-0.33;0.31;0.301239;185;0,0748987854;FALSE
language disorder;Dopamine D2 receptor;Antagonist;-56.31;8.88;7.9;0.304088;186;0,0753036437;FALSE
compulsive shopping;Adrenergic Alpha2 receptor;Antagonist;437.74;-55.7;40.87;0.306067;187;0,0757085020;FALSE
crime;Histamine H1 receptor;Antagonist;-18.57;3.38;3.11;0.313123;188;0,0761133603;FALSE
physical assault;Norepinephrine transporter;Antagonist;4.27;-0.37;0.34;0.313299;189;0,0765182186;FALSE
antisocial behaviour;Serotonin 5-HT2 receptor;Inverse Agonist;10.51;-1.01;0.76;0.316457;190;0,0769230769;FALSE
speech disorder;Dopamine D5 receptor;Antagonist;5.4;-0.51;0.45;0.319747;191;0,0773279352;FALSE
social avoidant behaviour;Serotonin transporter;Antagonist;0.89;0.11;0.1;0.320546;192;0,0777327935;FALSE
disability;Histamine H1 receptor;Antagonist;3.87;-0.37;0.36;0.321946;193;0,0781376518;FALSE
loss of personal independence in daily activities;Dopamine D5 receptor;Agonist;-0.83;0.19;0.15;0.325758;194;0,0785425101;FALSE
poor personal hygiene;Serotonin 5-HT2 receptor;Inverse Agonist;35.81;-3.75;2.92;0.327225;195;0,0789473684;FALSE
disturbance in attention;Adrenergic Beta1 receptor;Antagonist;6.9;-0.71;0.64;0.327669;196;0,0793522267;FALSE
compulsive shopping;Serotonin transporter;Antagonist;1.87;-0.16;0.15;0.32791;197;0,0797570850;FALSE
physical assault;Dopamine D2 receptor;Antagonist;-1.8;0.53;0.51;0.328291;198;0,0801619433;FALSE
crime;Norepinephrine transporter;Antagonist;-20.44;4.15;3.85;0.330271;199;0,0805668016;FALSE
social anxiety disorder;Serotonin transporter;Antagonist;615.46;-67.71;66.62;0.333393;200;0,0809716599;FALSE
language disorder;Norepinephrine transporter;Antagonist;-13.52;2.75;2.58;0.335253;201;0,0813765182;FALSE
impaired driving ability;Serotonin 5-HT1 receptor;Agonist;-5.2;0.92;0.8;0.335731;202;0,0817813765;FALSE
hypersexuality;Norepinephrine transporter;Antagonist;2.01;-0.15;0.14;0.337991;203;0,0821862348;FALSE
hypersexuality;Dopamine transporter;Antagonist;-2.9;0.57;0.46;0.338603;204;0,0825910931;FALSE
impaired driving ability;Dopamine transporter;Antagonist;4.8;-0.59;0.57;0.341217;205;0,0829959514;FALSE
speech disorder;Adrenergic Beta1 receptor;Antagonist;-1.02;0.49;0.48;0.344918;206;0,0834008097;FALSE
drug diversion;Delta opioid receptor;Agonist;97.27;-10.27;8.43;0.347571;207;0,0838056680;FALSE
disturbance in attention;Dopamine D2 receptor;Agonist;-0.63;0.2;0.18;0.349228;208;0,0842105263;FALSE
loss of personal independence in daily activities;Dopamine D4 receptor;Antagonist;0.98;-0.09;0.09;0.351113;209;0,0846153846;FALSE
loss of employment;Serotonin 5-HT2 receptor;Inverse Agonist;-2.16;0.3;0.25;0.354495;210;0,0850202429;FALSE
unemployment;Norepinephrine transporter;Antagonist;5.53;-0.41;0.35;0.356656;211;0,0854251012;FALSE
speech disorder;Progesterone receptor;Agonist;3.94;-0.31;0.3;0.357191;212;0,0858299595;FALSE
sexual abuse;Histamine H1 receptor;Antagonist;24.21;-2.67;2.48;0.359136;213;0,0862348178;FALSE
speech disorder;Androgen Receptor;Antagonist;13.87;-1.54;1.31;0.360902;214;0,0866396761;FALSE
impaired work ability;Serotonin 5-HT1 receptor;Agonist;-2.32;0.45;0.42;0.360995;215;0,0870445344;FALSE
loss of personal independence in daily activities;Serotonin 5-HT2 receptor;Partial Agonist;2.32;-0.27;0.23;0.361065;216;0,0874493927;FALSE
theft;Delta opioid receptor;Agonist;-5.8;1.24;1.05;0.361832;217;0,0878542510;FALSE
hypersexuality;Serotonin 5-HT1 receptor;Partial Agonist;152.46;-15.84;15.8;0.362182;218;0,0882591093;FALSE
disability;Muscarinic M2 receptor;Antagonist;-2.35;0.47;0.47;0.364672;219;0,0886639676;FALSE
disturbance in attention;Serotonin 5-HT2 receptor;Inverse Agonist;6.62;-0.66;0.69;0.366339;220;0,0890688259;FALSE
disturbance in attention;Dopamine D4 receptor;Antagonist;-0.57;0.19;0.19;0.367264;221;0,0894736842;FALSE
homicide;Dopamine transporter;Antagonist;13.58;-1.85;1.61;0.368574;222;0,0898785425;FALSE
impaired work ability;Progesterone receptor;Agonist;-0.64;0.3;0.3;0.369041;223;0,0902834008;FALSE
disability;Muscarinic M4 receptor;Antagonist;-2.46;0.46;0.47;0.369219;224;0,0906882591;FALSE
loss of personal independence in daily activities;Serotonin 5-HT2 receptor;Antagonist;0.77;-0.04;0.05;0.3722;225;0,0910931174;FALSE
hypersexuality;Serotonin 5-HT2 receptor;Antagonist;72.79;-7.93;8.11;0.372688;226;0,0914979757;FALSE
aggression;Serotonin 5-HT1 receptor;Partial Agonist;-0.12;0.19;0.2;0.374505;227;0,0919028340;FALSE
social avoidant behaviour;Muscarinic M2 receptor;Antagonist;-0.96;0.27;0.24;0.376682;228;0,0923076923;FALSE
loss of personal independence in daily activities;Serotonin 5-HT7 receptor;Inverse Agonist;-1.57;0.26;0.26;0.378462;229;0,0927125506;FALSE
homicide;Serotonin transporter;Antagonist;-2.73;0.9;0.98;0.379048;230;0,0931174089;FALSE
aggression;Dopamine transporter;Antagonist;-0.85;0.4;0.43;0.379191;231;0,0935222672;FALSE
speech disorder;Dopamine D1 receptor;Antagonist;38.35;-4.77;5.03;0.379638;232;0,0939271255;FALSE
theft;Norepinephrine transporter;Antagonist;2.36;-0.24;0.23;0.385621;233;0,0943319838;FALSE
impaired work ability;Muscarinic M3 receptor;Antagonist;-0.71;0.2;0.21;0.386132;234;0,0947368421;FALSE
homicide;GABA A receptor;Agonist;23.82;-2.29;2.26;0.386432;235;0,0951417004;FALSE
homicide;Kappa opioid receptor;Agonist;9.98;-0.91;0.83;0.387429;236;0,0955465587;FALSE
loss of personal independence in daily activities;Adrenergic Alpha1 receptor;Antagonist;1.74;-0.14;0.15;0.396948;237;0,0959514170;FALSE
speech disorder;Muscarinic M3 receptor;Antagonist;4.54;-0.29;0.33;0.398214;238;0,0963562753;FALSE
disturbance in attention;Serotonin 5-HT1 receptor;Agonist;-0.13;0.14;0.14;0.400177;239;0,0967611336;FALSE
speech disorder;Adrenergic Alpha1 receptor;Antagonist;-3;0.69;0.78;0.40087;240;0,0971659919;FALSE
impaired driving ability;Progesterone receptor;Agonist;-1.32;0.29;0.3;0.403713;241;0,0975708502;FALSE
