AE;Target;Action;Intercept;Slope;SE;p_value;Pearson;Rank;BH20;Sign20
impulse-control disorder;Serotonin 5-HT2 receptor;Antagonist;127.65;-18.04;9.63;0.12005;-0.64; 97;0,0327150084;FALSE
drug diversion;GABA A receptor;Agonist;-12.76;2.28;1.06;0.121095;0.78; 98;0,0330522766;FALSE
speech disorder;Adrenergic Beta2 receptor;Partial Agonist;19.65;-3.18;1.23;0.122259;-0.88; 99;0,0333895447;FALSE
hypersexuality;Dopamine D2 receptor;Agonist;93.89;-7.1;3.36;0.125424;-0.77;100;0,0337268128;FALSE
disability;Muscarinic M3 receptor;Antagonist;-4.53;0.69;0.39;0.126204;0.55;101;0,0340640809;FALSE
crime;Serotonin transporter;Antagonist;44.1;-4.79;2.71;0.127145;-0.59;102;0,0344013491;FALSE
hypersexuality;Dopamine D2 receptor;Partial Agonist;147.56;-14.63;5.79;0.127371;-0.87;103;0,0347386172;FALSE
impulsive behaviour;Dopamine transporter;Antagonist;-7.48;1.76;0.97;0.130308;0.63;104;0,0350758853;FALSE
speech disorder;Dopamine D1 receptor;Agonist;13.22;-1.99;0.96;0.131326;-0.77;105;0,0354131535;FALSE
impaired self-care;Serotonin 5-HT2 receptor;Inverse Agonist;50.34;-5.54;2.7;0.132758;-0.76;106;0,0357504216;FALSE
speech disorder;Serotonin 5-HT2 receptor;Inverse Agonist;6.16;-0.58;0.35;0.137052;-0.54;107;0,0360876897;FALSE
speech disorder;Adrenergic Beta2 receptor;Agonist;15.47;-1.45;0.87;0.139016;-0.53;108;0,0364249578;FALSE
disability;Serotonin 5-HT1 receptor;Partial Agonist;25.3;-3.13;1.78;0.139492;-0.62;109;0,0367622260;FALSE
physical assault;Serotonin 5-HT1 receptor;Partial Agonist;-92.75;12.79;6.41;0.14006;0.76;110;0,0370994941;FALSE
gambling;Adrenergic Alpha1 receptor;Antagonist;92.94;-11;4.63;0.140965;-0.86;111;0,0374367622;FALSE
impulsive behaviour;Serotonin 5-HT1 receptor;Agonist;3.65;-0.32;0.13;0.141118;-0.86;112;0,0377740304;FALSE
aggression;Norepinephrine transporter;Antagonist;-2.01;0.59;0.39;0.141183;0.28;113;0,0381112985;FALSE
aggression;Serotonin 5-HT7 receptor;Inverse Agonist;-7.02;1.23;0.73;0.141527;0.57;114;0,0384485666;FALSE
social avoidant behaviour;Dopamine D1 receptor;Antagonist;-24.66;3.83;1.94;0.142332;0.75;115;0,0387858347;FALSE
aggression;Serotonin 5-HT1 receptor;Antagonist;-3.96;1.15;0.7;0.142936;0.53;116;0,0391231029;FALSE
gambling disorder;Dopamine transporter;Antagonist;4.9;-0.69;0.3;0.144618;-0.86;117;0,0394603710;FALSE
aggression;Acetylcholinesterase;Antagonist;9.63;-0.86;0.37;0.145773;-0.85;118;0,0397976391;FALSE
disturbance in attention;Dopamine D5 receptor;Antagonist;-4.55;0.74;0.38;0.146748;0.75;119;0,0401349073;FALSE
social problem;Dopamine transporter;Antagonist;-0.71;0.16;0.07;0.146931;0.85;120;0,0404721754;FALSE
verbal abuse;Serotonin 5-HT7 receptor;Inverse Agonist;112.24;-13.3;6.84;0.146947;-0.75;121;0,0408094435;FALSE
speech disorder;Serotonin 5-HT1 receptor;Agonist;-5.03;1.05;0.63;0.148869;0.56;122;0,0411467116;FALSE
gambling;Serotonin 5-HT2 receptor;Antagonist;48.12;-6.8;3.83;0.150065;-0.66;123;0,0414839798;FALSE
family stress;Dopamine D2 receptor;Antagonist;-0.4;0.08;0.04;0.153048;0.74;124;0,0418212479;FALSE
impaired quality of life;Adrenergic Beta2 receptor;Agonist;10.86;-1.16;0.52;0.153875;-0.85;125;0,0421585160;FALSE
disability;Serotonin 5-HT7 receptor;Inverse Agonist;4.46;-0.49;0.28;0.155539;-0.66;126;0,0424957841;FALSE
marital problem;Norepinephrine transporter;Antagonist;5.84;-0.68;0.41;0.156531;-0.6;127;0,0428330523;FALSE
disability;Serotonin 5-HT6 receptor;Antagonist;7.9;-1.16;0.62;0.156975;-0.74;128;0,0431703204;FALSE
educational problem;Histamine H1 receptor;Antagonist;5.15;-0.55;0.34;0.157372;-0.55;129;0,0435075885;FALSE
impaired work ability;Norepinephrine transporter;Antagonist;1.88;-0.15;0.11;0.164059;-0.33;130;0,0438448567;FALSE
impaired driving ability;Adrenergic Beta2 receptor;Agonist;2.76;-0.22;0.1;0.164918;-0.84;131;0,0441821248;FALSE
impaired work ability;Histamine H1 receptor;Antagonist;-1.81;0.32;0.22;0.165127;0.34;132;0,0445193929;FALSE
disability;Muscarinic M1 receptor;Antagonist;-4.89;0.74;0.48;0.166127;0.5;133;0,0448566610;FALSE
physical assault;Histamine H1 receptor;Antagonist;-1.84;0.5;0.34;0.166469;0.38;134;0,0451939292;FALSE
impaired quality of life;Norepinephrine transporter;Antagonist;0.39;-0.06;0.03;0.167378;-0.83;135;0,0455311973;FALSE
physical assault;Norepinephrine transporter;Antagonist;4.67;-0.45;0.29;0.167709;-0.47;136;0,0458684654;FALSE
loss of personal independence in daily activities;Adrenergic Beta2 receptor;Agonist;-4.65;0.95;0.57;0.169112;0.64;137;0,0462057336;FALSE
social anxiety disorder;Norepinephrine transporter;Antagonist;-468.56;80.75;54.37;0.171692;0.44;138;0,0465430017;FALSE
crime;GABA A receptor;Agonist;45.24;-5.12;2.46;0.172332;-0.83;139;0,0468802698;FALSE
physical assault;Glucocorticoid receptor;Agonist;7.55;-0.73;0.35;0.173037;-0.83;140;0,0472175379;FALSE
impaired work ability;Muscarinic M4 receptor;Antagonist;-1.23;0.25;0.16;0.175734;0.58;141;0,0475548061;FALSE
impaired work ability;Muscarinic M5 receptor;Antagonist;-1.46;0.27;0.17;0.175951;0.63;142;0,0478920742;FALSE
physical assault;Dopamine D3 receptor;Antagonist;4.92;-0.42;0.21;0.175993;-0.82;143;0,0482293423;FALSE
gambling;Serotonin 5-HT1 receptor;Partial Agonist;-75.83;15.22;9.33;0.178263;0.63;144;0,0485666105;FALSE
aggression;Dopamine D3 receptor;Agonist;10.27;-1.18;0.58;0.178736;-0.82;145;0,0489038786;FALSE
imprisonment;Serotonin transporter;Antagonist;9.05;-0.79;0.55;0.181076;-0.44;146;0,0492411467;FALSE
gambling;Dopamine D2 receptor;Agonist;210.62;-20.85;12.03;0.181423;-0.71;147;0,0495784148;FALSE
homicide;Dopamine transporter;Antagonist;10.11;-1.37;0.85;0.181992;-0.63;148;0,0499156830;FALSE
family stress;Serotonin 5-HT2 receptor;Antagonist;-2.86;0.51;0.29;0.182014;0.71;149;0,0502529511;FALSE
impaired work ability;Muscarinic M2 receptor;Antagonist;-0.95;0.22;0.14;0.182875;0.57;150;0,0505902192;FALSE
antisocial behaviour;Histamine H1 receptor;Antagonist;-1.9;0.49;0.34;0.185355;0.46;151;0,0509274874;FALSE
aggression;Muscarinic M4 receptor;Antagonist;8.56;-0.82;0.57;0.185793;-0.43;152;0,0512647555;FALSE
imprisonment;Dopamine D4 receptor;Antagonist;15.42;-1.5;0.76;0.186972;-0.81;153;0,0516020236;FALSE
drug diversion;Norepinephrine transporter;Antagonist;98.73;-14;9.4;0.187056;-0.52;154;0,0519392917;FALSE
impaired work ability;Delta opioid receptor;Agonist;3.19;-0.36;0.21;0.187348;-0.7;155;0,0522765599;FALSE
impaired work ability;Kappa opioid receptor;Agonist;3.68;-0.39;0.2;0.188005;-0.81;156;0,0526138280;FALSE
verbal abuse;Serotonin 5-HT2 receptor;Inverse Agonist;-13.87;1.89;1.12;0.188817;0.7;157;0,0529510961;FALSE
impulse-control disorder;Dopamine D3 receptor;Agonist;-91.7;14.17;7.24;0.189383;0.81;158;0,0532883642;FALSE
legal problem;Histamine H1 receptor;Antagonist;9.73;-0.98;0.65;0.192319;-0.56;159;0,0536256324;FALSE
aggression;Muscarinic M1 receptor;Antagonist;8.62;-0.82;0.59;0.19349;-0.37;160;0,0539629005;FALSE
loss of personal independence in daily activities;Serotonin 5-HT7 receptor;Antagonist;0.54;-0.04;0.02;0.199105;-0.61;161;0,0543001686;FALSE
loss of employment;Dopamine transporter;Antagonist;18.07;-2.63;1.78;0.199708;-0.55;162;0,0546374368;FALSE
aggression;Glucocorticoid receptor;Agonist;-0.79;0.22;0.16;0.204595;0.39;163;0,0549747049;FALSE
impaired driving ability;Delta opioid receptor;Agonist;3.47;-0.33;0.18;0.206551;-0.79;164;0,0553119730;FALSE
physical assault;Serotonin 5-HT6 receptor;Inverse Agonist;43.04;-5.17;2.82;0.208541;-0.79;165;0,0556492411;FALSE
antisocial behaviour;Serotonin 5-HT2 receptor;Inverse Agonist;10.1;-1;0.62;0.209304;-0.68;166;0,0559865093;FALSE
impaired work ability;Mu opioid receptor;Agonist;1.69;-0.13;0.1;0.214157;-0.43;167;0,0563237774;FALSE
social avoidant behaviour;Dopamine D2 receptor;Antagonist;-2.83;0.67;0.5;0.215709;0.41;168;0,0566610455;FALSE
impulse-control disorder;Dopamine D5 receptor;Agonist;60.92;-5.87;3.3;0.216896;-0.78;169;0,0569983137;FALSE
impulsive behaviour;Dopamine D2 receptor;Agonist;-4.2;1.12;0.63;0.216987;0.78;170;0,0573355818;FALSE
impulsive behaviour;Serotonin 5-HT2 receptor;Antagonist;8.39;-0.76;0.58;0.219282;-0.4;171;0,0576728499;FALSE
social avoidant behaviour;Serotonin 5-HT1 receptor;Antagonist;-10.89;2.15;1.22;0.219571;0.78;172;0,0580101180;FALSE
compulsive shopping;Serotonin 5-HT2 receptor;Partial Agonist;-203.12;31.32;17.8;0.220605;0.78;173;0,0583473862;FALSE
social avoidant behaviour;Muscarinic M2 receptor;Antagonist;-1.59;0.32;0.18;0.221437;0.78;174;0,0586846543;FALSE
sexual abuse;Serotonin transporter;Antagonist;7.41;-0.63;0.47;0.221967;-0.45;175;0,0590219224;FALSE
speech disorder;Serotonin 5-HT1 receptor;Antagonist;-4.99;1.07;0.82;0.22278;0.4;176;0,0593591906;FALSE
sexual abuse;Histamine H1 receptor;Antagonist;21.3;-2.3;1.6;0.223408;-0.58;177;0,0596964587;FALSE
verbal abuse;GABA A receptor;Agonist;14;-1.61;0.93;0.224935;-0.78;178;0,0600337268;FALSE
gambling;Histamine H1 receptor;Antagonist;140.37;-15.55;10.89;0.226399;-0.58;179;0,0603709949;FALSE
gambling disorder;Serotonin 5-HT2 receptor;Antagonist;61.66;-8.74;5.79;0.228685;-0.66;180;0,0607082631;FALSE
speech disorder;Dopamine D2 receptor;Antagonist;-5.31;0.93;0.75;0.231071;0.27;181;0,0610455312;FALSE
gambling disorder;Histamine H1 receptor;Antagonist;122.92;-13.59;9.7;0.23354;-0.57;182;0,0613827993;FALSE
speech disorder;Dopamine D3 receptor;Partial Agonist;2.2;-0.18;0.12;0.234127;-0.65;183;0,0617200675;FALSE
impulse-control disorder;Dopamine D3 receptor;Partial Agonist;123.91;-12.46;8.39;0.234229;-0.65;184;0,0620573356;FALSE
impulsive behaviour;Dopamine D2 receptor;Partial Agonist;-4.46;0.93;0.56;0.23518;0.76;185;0,0623946037;FALSE
compulsive shopping;Serotonin transporter;Antagonist;2.11;-0.19;0.14;0.236944;-0.51;186;0,0627318718;FALSE
gambling disorder;Dopamine D2 receptor;Agonist;178.14;-17.22;11.7;0.237685;-0.65;187;0,0630691400;FALSE
verbal abuse;Norepinephrine transporter;Antagonist;3.42;-0.26;0.2;0.237765;-0.47;188;0,0634064081;FALSE
verbal abuse;Dopamine D2 receptor;Antagonist;-22.79;3.44;2.57;0.23869;0.51;189;0,0637436762;FALSE
compulsive shopping;Dopamine D3 receptor;Partial Agonist;89.28;-9.15;6.24;0.239026;-0.65;190;0,0640809444;FALSE
impulsive behaviour;Histamine H1 receptor;Antagonist;96.74;-10.84;8.71;0.239048;-0.35;191;0,0644182125;FALSE
educational problem;Progesterone receptor;Agonist;-6.26;1.02;0.62;0.239067;0.76;192;0,0647554806;FALSE
social problem;Serotonin 5-HT2 receptor;Inverse Agonist;4.15;-0.43;0.26;0.239086;-0.76;193;0,0650927487;FALSE
imprisonment;Serotonin 5-HT7 receptor;Inverse Agonist;15.72;-1.48;0.91;0.243958;-0.76;194;0,0654300169;FALSE
theft;Histamine H1 receptor;Antagonist;72.82;-8.41;5.83;0.24465;-0.64;195;0,0657672850;FALSE
aggression;Delta opioid receptor;Agonist;3.14;-0.28;0.21;0.244717;-0.56;196;0,0661045531;FALSE
homicide;Kappa opioid receptor;Agonist;11.68;-1.23;0.77;0.249366;-0.75;197;0,0664418212;FALSE
antisocial behaviour;Serotonin 5-HT2 receptor;Antagonist;12;-1.52;1.08;0.251638;-0.63;198;0,0667790894;FALSE
hypersexuality;Serotonin 5-HT2 receptor;Inverse Agonist;9.39;-0.94;0.67;0.251677;-0.63;199;0,0671163575;FALSE
compulsive shopping;Serotonin 5-HT2 receptor;Antagonist;94.73;-13.31;9.44;0.253362;-0.63;200;0,0674536256;FALSE
impaired driving ability;Serotonin 5-HT3 receptor;Antagonist;2.71;-0.29;0.2;0.255334;-0.63;201;0,0677908938;FALSE
loss of employment;Norepinephrine transporter;Antagonist;7.9;-0.97;0.81;0.258253;-0.37;202;0,0681281619;FALSE
hypersexuality;Serotonin 5-HT1 receptor;Partial Agonist;111.77;-11.62;9.15;0.260145;-0.49;203;0,0684654300;FALSE
loss of personal independence in daily activities;Dopamine D3 receptor;Antagonist;-2.51;0.37;0.29;0.261718;0.49;204;0,0688026981;FALSE
educational problem;Norepinephrine transporter;Antagonist;-9.04;2.02;1.63;0.26182;0.45;205;0,0691399663;FALSE
speech disorder;Adrenergic Beta1 receptor;Antagonist;-1.88;0.63;0.51;0.263125;0.45;206;0,0694772344;FALSE
theft;Delta opioid receptor;Agonist;-8;1.47;0.96;0.264789;0.74;207;0,0698145025;FALSE
disability;Norepinephrine transporter;Antagonist;0.8;-0.07;0.06;0.265068;-0.33;208;0,0701517707;FALSE
crime;Histamine H1 receptor;Antagonist;-12.89;2.46;2.06;0.266271;0.39;209;0,0704890388;FALSE
language disorder;Serotonin 5-HT2 receptor;Antagonist;-3.14;0.8;0.59;0.267201;0.62;210;0,0708263069;FALSE
disturbance in attention;Dopamine D2 receptor;Partial Agonist;-0.43;0.11;0.08;0.267808;0.54;211;0,0711635750;FALSE
shoplifting;Serotonin transporter;Antagonist;-3.86;0.64;0.42;0.27042;0.73;212;0,0715008432;FALSE
crime;Norepinephrine transporter;Antagonist;-14.46;2.94;2.43;0.272648;0.44;213;0,0718381113;FALSE
impulsive behaviour;Mu opioid receptor;Agonist;2.7;-0.26;0.21;0.274452;-0.53;214;0,0721753794;FALSE
disability;Serotonin 5-HT3 receptor;Antagonist;-2.48;0.55;0.42;0.276699;0.61;215;0,0725126476;FALSE
speech disorder;Muscarinic M4 receptor;Antagonist;-0.61;0.29;0.25;0.277812;0.34;216;0,0728499157;FALSE
disturbance in attention;Adrenergic Beta1 receptor;Antagonist;6.54;-0.69;0.57;0.279241;-0.48;217;0,0731871838;FALSE
educational problem;Dopamine transporter;Antagonist;-24.22;4.84;3.69;0.280975;0.6;218;0,0735244519;FALSE
hypersexuality;Adrenergic Alpha2 receptor;Antagonist;343.77;-43.13;33.13;0.283945;-0.6;219;0,0738617201;FALSE
poor personal hygiene;Norepinephrine transporter;Antagonist;5.01;-0.56;0.43;0.285927;-0.6;220;0,0741989882;FALSE
disturbance in attention;Dopamine D3 receptor;Partial Agonist;-0.23;0.08;0.06;0.28652;0.6;221;0,0745362563;FALSE
poor personal hygiene;Serotonin 5-HT2 receptor;Inverse Agonist;39.41;-4.18;2.94;0.29118;-0.71;222;0,0748735245;FALSE
